Mouse	ChrMouse	Platypus	ChrPlatypus
ENSMUSG00000000001	3	ENSOANG00000002264	Contig4583
ENSMUSG00000000028	16	ENSOANG00000029219	Contig46449
ENSMUSG00000000049	11	ENSOANG00000008061	Ultra288
ENSMUSG00000000056	11	ENSOANG00000005218	Ultra428
ENSMUSG00000000058	6	ENSOANG00000005889	Contig8921
ENSMUSG00000000078	13	ENSOANG00000006083	Ultra274
ENSMUSG00000000085	4	ENSOANG00000002846	Contig21882
ENSMUSG00000000088	9	ENSOANG00000006532	Ultra494
ENSMUSG00000000093	11	ENSOANG00000020395	Contig26837
ENSMUSG00000000094	11	ENSOANG00000011525	Ultra9
ENSMUSG00000000120	11	ENSOANG00000000447	Contig8677
ENSMUSG00000000126	11	ENSOANG00000015318	Ultra108
ENSMUSG00000000127	17	ENSOANG00000011399	Ultra84
ENSMUSG00000000131	7	ENSOANG00000004672	Contig8043
ENSMUSG00000000134	X	ENSOANG00000013574	Ultra295
ENSMUSG00000000142	11	ENSOANG00000008063	Ultra288
ENSMUSG00000000148	5	ENSOANG00000004324	2
ENSMUSG00000000149	5	ENSOANG00000004326	2
ENSMUSG00000000154	7	ENSOANG00000032218	Contig17670
ENSMUSG00000000159	16	ENSOANG00000006429	Ultra222
ENSMUSG00000000167	9	ENSOANG00000021548	Contig45340
ENSMUSG00000000168	9	ENSOANG00000010422	Contig20241
ENSMUSG00000000183	6	ENSOANG00000020755	Contig14702
ENSMUSG00000000184	6	ENSOANG00000014696	Contig11124
ENSMUSG00000000194	2	ENSOANG00000002555	4
ENSMUSG00000000197	14	ENSOANG00000011307	Ultra284
ENSMUSG00000000202	11	ENSOANG00000003285	Ultra151
ENSMUSG00000000223	X	ENSOANG00000004217	Ultra519
ENSMUSG00000000244	7	ENSOANG00000021778	Contig13890
ENSMUSG00000000247	2	ENSOANG00000003099	Ultra134
ENSMUSG00000000253	13	ENSOANG00000007188	Contig14718
ENSMUSG00000000263	11	ENSOANG00000005109	X1
ENSMUSG00000000266	X	ENSOANG00000014706	Ultra369
ENSMUSG00000000276	11	ENSOANG00000010294	Contig524
ENSMUSG00000000278	11	ENSOANG00000010295	Contig524
ENSMUSG00000000282	11	ENSOANG00000008631	Ultra382
ENSMUSG00000000295	10	ENSOANG00000020120	2
ENSMUSG00000000296	10	ENSOANG00000012559	2
ENSMUSG00000000301	11	ENSOANG00000001259	2
ENSMUSG00000000303	8	ENSOANG00000002356	11
ENSMUSG00000000305	2	ENSOANG00000003373	Ultra337
ENSMUSG00000000308	2	ENSOANG00000012720	Contig24232
ENSMUSG00000000317	11	ENSOANG00000006441	Contig25732
ENSMUSG00000000326	16	ENSOANG00000014591	Contig765
ENSMUSG00000000339	3	ENSOANG00000012055	Ultra496
ENSMUSG00000000374	10	ENSOANG00000006475	Ultra222
ENSMUSG00000000378	11	ENSOANG00000015753	Contig2684
ENSMUSG00000000384	11	ENSOANG00000015366	Contig27359
ENSMUSG00000000385	16	ENSOANG00000006438	Ultra222
ENSMUSG00000000392	2	ENSOANG00000006191	Ultra514
ENSMUSG00000000394	2	ENSOANG00000006189	Ultra514
