Macaque	ChrMacaque	Platypus	ChrPlatypus
ENSMMUG00000000005	10	ENSOANG00000004242	Contig1041
ENSMMUG00000000013	7	ENSOANG00000001650	Contig16123
ENSMMUG00000000015	1	ENSOANG00000010256	Ultra67
ENSMMUG00000000016	1	ENSOANG00000010254	Ultra67
ENSMMUG00000000017	14	ENSOANG00000014339	Ultra475
ENSMMUG00000000020	14	ENSOANG00000003979	Contig114591
ENSMMUG00000000021	1	ENSOANG00000010251	Ultra67
ENSMMUG00000000022	14	ENSOANG00000015211	Contig20708
ENSMMUG00000000023	7	ENSOANG00000013955	4
ENSMMUG00000000025	10	ENSOANG00000008816	Ultra252
ENSMMUG00000000026	X	ENSOANG00000010696	Contig48
ENSMMUG00000000029	20	ENSOANG00000020353	Contig5746
ENSMMUG00000000031	11	ENSOANG00000009947	2
ENSMMUG00000000040	7	ENSOANG00000014045	4
ENSMMUG00000000042	12	ENSOANG00000008384	Contig89
ENSMMUG00000000043	12	ENSOANG00000008383	Contig89
ENSMMUG00000000048	17	ENSOANG00000020626	Contig3071
ENSMMUG00000000049	17	ENSOANG00000014315	Ultra16
ENSMMUG00000000051	2	ENSOANG00000020974	Contig13141
ENSMMUG00000000056	2	ENSOANG00000010528	Ultra51
ENSMMUG00000000058	2	ENSOANG00000006783	Ultra117
ENSMMUG00000000059	2	ENSOANG00000006784	Ultra117
ENSMMUG00000000063	1	ENSOANG00000031807	Contig32478
ENSMMUG00000000065	1	ENSOANG00000000862	Ultra341
ENSMMUG00000000067	2	ENSOANG00000012237	Ultra51
ENSMMUG00000000069	10	ENSOANG00000011912	Contig11826
ENSMMUG00000000070	10	ENSOANG00000011911	Contig11826
ENSMMUG00000000072	10	ENSOANG00000009245	Ultra516
ENSMMUG00000000073	10	ENSOANG00000009246	Ultra516
ENSMMUG00000000074	10	ENSOANG00000009249	Ultra516
ENSMMUG00000000075	2	ENSOANG00000004004	Contig10352
ENSMMUG00000000081	2	ENSOANG00000020926	Contig7976
ENSMMUG00000000083	1	ENSOANG00000032093	Contig49558
ENSMMUG00000000089	10	ENSOANG00000008428	Ultra56
ENSMMUG00000000090	1	ENSOANG00000028676	Contig46688
ENSMMUG00000000092	1	ENSOANG00000031128	Contig19392
ENSMMUG00000000098	7	ENSOANG00000001153	Contig13556
ENSMMUG00000000100	7	ENSOANG00000007692	Ultra378
ENSMMUG00000000102	5	ENSOANG00000007812	12
ENSMMUG00000000104	3	ENSOANG00000006470	Ultra222
ENSMMUG00000000111	11	ENSOANG00000003121	Contig23498
ENSMMUG00000000113	11	ENSOANG00000021894	Contig23052
ENSMMUG00000000122	4	ENSOANG00000020184	2
ENSMMUG00000000123	4	ENSOANG00000014801	2
ENSMMUG00000000125	10	ENSOANG00000009265	Ultra516
ENSMMUG00000000129	8	ENSOANG00000005363	5
ENSMMUG00000000130	8	ENSOANG00000005364	5
ENSMMUG00000000134	1	ENSOANG00000001472	Ultra67
ENSMMUG00000000135	15	ENSOANG00000013192	X5
ENSMMUG00000000136	15	ENSOANG00000022565	X5
ENSMMUG00000000138	16	ENSOANG00000015815	Contig1161
ENSMMUG00000000140	16	ENSOANG00000015814	Contig1161
ENSMMUG00000000141	15	ENSOANG00000001511	X5
ENSMMUG00000000142	6	ENSOANG00000013092	Contig31545
ENSMMUG00000000143	15	ENSOANG00000001505	X5
ENSMMUG00000000144	6	ENSOANG00000021444	Contig17432
ENSMMUG00000000145	1	ENSOANG00000020210	Contig2034
ENSMMUG00000000148	9	ENSOANG00000005167	Contig26831
ENSMMUG00000000151	10	ENSOANG00000013614	Contig1209
ENSMMUG00000000152	11	ENSOANG00000005721	Contig21248
ENSMMUG00000000153	16	ENSOANG00000000624	Contig9015
ENSMMUG00000000158	2	ENSOANG00000007166	Contig11122
ENSMMUG00000000163	8	ENSOANG00000000701	5
ENSMMUG00000000164	2	ENSOANG00000005846	Contig4960
ENSMMUG00000000166	2	ENSOANG00000000959	Ultra32
ENSMMUG00000000168	2	ENSOANG00000021409	Ultra32
ENSMMUG00000000169	10	ENSOANG00000004933	Ultra337
ENSMMUG00000000171	10	ENSOANG00000004932	Ultra337
ENSMMUG00000000172	15	ENSOANG00000009708	Ultra228
ENSMMUG00000000173	15	ENSOANG00000009709	Ultra228
ENSMMUG00000000181	13	ENSOANG00000001430	Ultra446
ENSMMUG00000000182	3	ENSOANG00000007717	2
ENSMMUG00000000183	11	ENSOANG00000012870	Contig15160
ENSMMUG00000000184	2	ENSOANG00000014285	Contig1195
ENSMMUG00000000187	14	ENSOANG00000014556	Contig3225
ENSMMUG00000000190	12	ENSOANG00000009359	Ultra171
ENSMMUG00000000192	X	ENSOANG00000004016	Ultra462
ENSMMUG00000000194	19	ENSOANG00000014609	Contig2192
ENSMMUG00000000195	19	ENSOANG00000014608	Contig2192
ENSMMUG00000000196	19	ENSOANG00000014606	Contig2192
ENSMMUG00000000198	19	ENSOANG00000012787	14
ENSMMUG00000000199	13	ENSOANG00000007037	Contig20502
ENSMMUG00000000200	8	ENSOANG00000001328	Ultra422
ENSMMUG00000000204	11	ENSOANG00000022398	Contig23304
ENSMMUG00000000205	11	ENSOANG00000001738	2
ENSMMUG00000000208	8	ENSOANG00000005951	5
ENSMMUG00000000210	14	ENSOANG00000022283	Contig17150
ENSMMUG00000000217	19	ENSOANG00000011946	Contig18600
ENSMMUG00000000220	2	ENSOANG00000006770	Ultra117
ENSMMUG00000000222	4	ENSOANG00000000551	Ultra483
ENSMMUG00000000229	10	ENSOANG00000030951	Contig105295
ENSMMUG00000000232	5	ENSOANG00000010315	Ultra544
ENSMMUG00000000237	5	ENSOANG00000031151	Contig3390
ENSMMUG00000000238	9	ENSOANG00000011999	Ultra12
ENSMMUG00000000242	9	ENSOANG00000007033	Ultra12
ENSMMUG00000000244	1	ENSOANG00000011183	4
ENSMMUG00000000245	1	ENSOANG00000011184	4
ENSMMUG00000000246	3	ENSOANG00000000282	4
ENSMMUG00000000252	10	ENSOANG00000009257	Ultra516
ENSMMUG00000000262	10	ENSOANG00000015173	Contig3104
ENSMMUG00000000263	10	ENSOANG00000028743	Contig40737
ENSMMUG00000000264	10	ENSOANG00000002463	Ultra149
ENSMMUG00000000265	2	ENSOANG00000002273	Ultra310
ENSMMUG00000000268	19	ENSOANG00000006431	Contig13446
ENSMMUG00000000271	19	ENSOANG00000006439	Contig13446
ENSMMUG00000000275	9	ENSOANG00000013228	3
ENSMMUG00000000276	15	ENSOANG00000005894	Ultra70
ENSMMUG00000000277	7	ENSOANG00000013262	Contig2081
ENSMMUG00000000278	7	ENSOANG00000013263	Contig2081
ENSMMUG00000000284	5	ENSOANG00000006238	Contig22487
ENSMMUG00000000286	18	ENSOANG00000010135	Ultra314
ENSMMUG00000000287	2	ENSOANG00000002680	1
ENSMMUG00000000289	16	ENSOANG00000003817	Contig19815
ENSMMUG00000000290	2	ENSOANG00000002683	1
ENSMMUG00000000291	13	ENSOANG00000002561	Contig8748
ENSMMUG00000000292	19	ENSOANG00000029093	Contig13469
ENSMMUG00000000293	13	ENSOANG00000008012	Contig2069
ENSMMUG00000000297	X	ENSOANG00000011677	6
ENSMMUG00000000300	12	ENSOANG00000003633	Ultra514
ENSMMUG00000000306	7	ENSOANG00000000502	Contig14268
ENSMMUG00000000312	12	ENSOANG00000001380	Ultra265
ENSMMUG00000000314	12	ENSOANG00000006769	Ultra265
ENSMMUG00000000316	14	ENSOANG00000013137	3
ENSMMUG00000000319	X	ENSOANG00000005871	Ultra401
ENSMMUG00000000320	X	ENSOANG00000002892	Contig19493
ENSMMUG00000000321	7	ENSOANG00000015364	1
ENSMMUG00000000323	X	ENSOANG00000022384	Contig159363
