Mouse	ChrMouse	Chicken	ChrChicken
ENSMUSG00000000001	3	ENSGALG00000041700	26
ENSMUSG00000000028	16	ENSGALG00000001616	15
ENSMUSG00000000037	X	ENSGALG00000016537	1
ENSMUSG00000000049	11	ENSGALG00000033376	18
ENSMUSG00000000056	11	ENSGALG00000001603	18
ENSMUSG00000000058	6	ENSGALG00000033295	1
ENSMUSG00000000078	13	ENSGALG00000033178	2
ENSMUSG00000000085	4	ENSGALG00000000672	23
ENSMUSG00000000088	9	ENSGALG00000014121	10
ENSMUSG00000000093	11	ENSGALG00000034297	19
ENSMUSG00000000094	11	ENSGALG00000005285	19
ENSMUSG00000000120	11	ENSGALG00000035950	27
ENSMUSG00000000125	11	ENSGALG00000001079	27
ENSMUSG00000000126	11	ENSGALG00000005401	2
ENSMUSG00000000127	17	ENSGALG00000000273	Z
ENSMUSG00000000131	7	ENSGALG00000035360	14
ENSMUSG00000000142	11	ENSGALG00000039200	18
ENSMUSG00000000149	5	ENSGALG00000004368	14
ENSMUSG00000000154	7	ENSGALG00000006454	5
ENSMUSG00000000159	16	ENSGALG00000016132	1
ENSMUSG00000000167	9	ENSGALG00000007885	24
ENSMUSG00000000168	9	ENSGALG00000007904	24
ENSMUSG00000000171	9	ENSGALG00000007878	24
ENSMUSG00000000182	6	ENSGALG00000027791	1
ENSMUSG00000000183	6	ENSGALG00000017287	1
ENSMUSG00000000184	6	ENSGALG00000017283	1
ENSMUSG00000000194	2	ENSGALG00000004052	17
ENSMUSG00000000197	14	ENSGALG00000016868	1
ENSMUSG00000000202	11	ENSGALG00000023359	18
ENSMUSG00000000214	7	ENSGALG00000029648	5
ENSMUSG00000000216	7	ENSGALG00000006270	14
ENSMUSG00000000223	X	ENSGALG00000005031	4
ENSMUSG00000000247	2	ENSGALG00000001124	17
ENSMUSG00000000253	13	ENSGALG00000012705	2
ENSMUSG00000000263	11	ENSGALG00000004134	13
ENSMUSG00000000266	X	ENSGALG00000003860	4
ENSMUSG00000000275	11	ENSGALG00000003144	18
ENSMUSG00000000276	11	ENSGALG00000003131	18
ENSMUSG00000000278	11	ENSGALG00000003185	18
ENSMUSG00000000282	11	ENSGALG00000005830	19
ENSMUSG00000000295	10	ENSGALG00000014841	3
