Opossum	ChrOpossum	Chicken	ChrChicken
ENSMODG00000000001	7	ENSGALG00000034261	1
ENSMODG00000000005	7	ENSGALG00000042759	1
ENSMODG00000000006	2	ENSGALG00000044612	26
ENSMODG00000000011	7	ENSGALG00000016908	1
ENSMODG00000000020	7	ENSGALG00000016635	1
ENSMODG00000000031	1	ENSGALG00000004410	6
ENSMODG00000000032	6	ENSGALG00000029811	2
ENSMODG00000000033	3	ENSGALG00000016154	2
ENSMODG00000000034	5	ENSGALG00000033883	4
ENSMODG00000000035	1	ENSGALG00000041459	6
ENSMODG00000000038	3	ENSGALG00000035166	2
ENSMODG00000000040	5	ENSGALG00000009732	4
ENSMODG00000000041	1	ENSGALG00000006674	20
ENSMODG00000000043	1	ENSGALG00000034104	6
ENSMODG00000000050	1	ENSGALG00000020982	20
ENSMODG00000000053	5	ENSGALG00000009758	4
ENSMODG00000000056	2	ENSGALG00000006804	8
ENSMODG00000000057	1	ENSGALG00000006679	20
ENSMODG00000000058	6	ENSGALG00000041820	2
ENSMODG00000000060	7	ENSGALG00000016655	1
ENSMODG00000000067	1	ENSGALG00000004372	6
ENSMODG00000000068	7	ENSGALG00000016681	1
ENSMODG00000000074	7	ENSGALG00000016685	1
ENSMODG00000000076	2	ENSGALG00000041915	8
ENSMODG00000000085	6	ENSGALG00000032097	2
ENSMODG00000000086	7	ENSGALG00000016687	1
ENSMODG00000000088	1	ENSGALG00000004355	6
ENSMODG00000000089	5	ENSGALG00000009774	4
ENSMODG00000000090	7	ENSGALG00000016689	1
ENSMODG00000000092	1	ENSGALG00000008631	5
ENSMODG00000000094	6	ENSGALG00000005527	12
ENSMODG00000000095	1	ENSGALG00000004345	6
ENSMODG00000000099	4	ENSGALG00000011577	7
ENSMODG00000000102	1	ENSGALG00000004332	6
ENSMODG00000000104	4	ENSGALG00000017199	1
ENSMODG00000000105	6	ENSGALG00000005537	12
ENSMODG00000000107	5	ENSGALG00000009782	4
ENSMODG00000000109	5	ENSGALG00000029673	4
ENSMODG00000000111	1	ENSGALG00000008624	5
ENSMODG00000000113	5	ENSGALG00000030801	4
ENSMODG00000000116	4	ENSGALG00000017200	1
ENSMODG00000000118	5	ENSGALG00000009790	4
ENSMODG00000000120	6	ENSGALG00000024260	14
ENSMODG00000000121	1	ENSGALG00000004325	6
ENSMODG00000000122	5	ENSGALG00000009800	4
ENSMODG00000000124	7	ENSGALG00000016907	1
ENSMODG00000000125	6	ENSGALG00000004279	14
ENSMODG00000000126	1	ENSGALG00000008603	5
ENSMODG00000000127	7	ENSGALG00000016698	1
ENSMODG00000000129	5	ENSGALG00000014365	4
ENSMODG00000000131	4	ENSGALG00000017201	1
ENSMODG00000000132	5	ENSGALG00000009809	4
ENSMODG00000000134	7	ENSGALG00000016702	1
ENSMODG00000000135	1	ENSGALG00000008595	5
ENSMODG00000000137	5	ENSGALG00000022991	4
ENSMODG00000000139	4	ENSGALG00000017202	1
ENSMODG00000000141	1	ENSGALG00000008587	5
ENSMODG00000000142	1	ENSGALG00000004319	6
ENSMODG00000000144	2	ENSGALG00000034347	26
ENSMODG00000000145	6	ENSGALG00000004310	14
ENSMODG00000000147	4	ENSGALG00000011652	7
ENSMODG00000000149	1	ENSGALG00000002686	6
ENSMODG00000000151	1	ENSGALG00000008584	5
ENSMODG00000000154	5	ENSGALG00000039549	4
ENSMODG00000000155	6	ENSGALG00000005620	12
ENSMODG00000000158	1	ENSGALG00000008569	5
ENSMODG00000000160	5	ENSGALG00000009826	4
ENSMODG00000000161	1	ENSGALG00000002693	6
ENSMODG00000000162	6	ENSGALG00000004329	14
ENSMODG00000000165	4	ENSGALG00000017205	1
ENSMODG00000000167	1	ENSGALG00000002701	6
ENSMODG00000000170	2	ENSGALG00000037744	26
ENSMODG00000000173	7	ENSGALG00000037015	1
ENSMODG00000000175	1	ENSGALG00000006738	20
ENSMODG00000000180	4	ENSGALG00000017208	1
ENSMODG00000000181	2	ENSGALG00000000226	26
ENSMODG00000000184	1	ENSGALG00000008553	5
ENSMODG00000000185	6	ENSGALG00000005622	12
ENSMODG00000000187	3	ENSGALG00000042626	Z
ENSMODG00000000188	1	ENSGALG00000002551	14
ENSMODG00000000189	7	ENSGALG00000016931	1
ENSMODG00000000190	1	ENSGALG00000027874	5
ENSMODG00000000192	6	ENSGALG00000004368	14
ENSMODG00000000193	4	ENSGALG00000011645	7
ENSMODG00000000198	1	ENSGALG00000008514	5
ENSMODG00000000200	1	ENSGALG00000008496	5
ENSMODG00000000203	1	ENSGALG00000006775	20
ENSMODG00000000204	6	ENSGALG00000005656	12
ENSMODG00000000206	3	ENSGALG00000033353	Z
ENSMODG00000000207	1	ENSGALG00000028047	5
ENSMODG00000000208	7	ENSGALG00000016930	1
ENSMODG00000000209	5	ENSGALG00000009855	4
ENSMODG00000000210	1	ENSGALG00000006788	20
ENSMODG00000000211	1	ENSGALG00000005299	6
ENSMODG00000000212	1	ENSGALG00000008469	5
ENSMODG00000000213	6	ENSGALG00000004398	14
ENSMODG00000000214	1	ENSGALG00000006791	20
ENSMODG00000000215	1	ENSGALG00000024469	5
ENSMODG00000000216	5	ENSGALG00000009865	4
ENSMODG00000000218	1	ENSGALG00000006792	20
ENSMODG00000000219	3	ENSGALG00000035773	Z
ENSMODG00000000220	1	ENSGALG00000005243	6
ENSMODG00000000221	1	ENSGALG00000008460	5
ENSMODG00000000222	4	ENSGALG00000017210	1
ENSMODG00000000223	5	ENSGALG00000009868	4
ENSMODG00000000226	1	ENSGALG00000006817	20
ENSMODG00000000227	6	ENSGALG00000005670	12
ENSMODG00000000228	1	ENSGALG00000032239	5
ENSMODG00000000229	4	ENSGALG00000011635	7
ENSMODG00000000231	4	ENSGALG00000017211	1
ENSMODG00000000232	6	ENSGALG00000004420	14
ENSMODG00000000235	5	ENSGALG00000009870	4
ENSMODG00000000236	4	ENSGALG00000017212	1
ENSMODG00000000241	Un	ENSGALG00000041878	33
ENSMODG00000000243	2	ENSGALG00000034516	18
ENSMODG00000000245	4	ENSGALG00000011630	7
ENSMODG00000000246	Un	ENSGALG00000000637	21
ENSMODG00000000249	1	ENSGALG00000035242	5
ENSMODG00000000250	1	ENSGALG00000005232	6
ENSMODG00000000252	Un	ENSGALG00000035211	21
ENSMODG00000000254	4	ENSGALG00000028770	7
ENSMODG00000000261	2	ENSGALG00000006864	8
ENSMODG00000000264	4	ENSGALG00000026493	7
ENSMODG00000000268	1	ENSGALG00000030313	5
ENSMODG00000000272	1	ENSGALG00000005226	6
ENSMODG00000000273	8	ENSGALG00000012410	1
ENSMODG00000000275	Un	ENSGALG00000031038	AADN04013100.1
ENSMODG00000000278	4	ENSGALG00000039751	1
ENSMODG00000000279	Un	ENSGALG00000036827	AADN04010802.1
ENSMODG00000000285	2	ENSGALG00000008661	8
ENSMODG00000000289	8	ENSGALG00000030455	2
ENSMODG00000000290	Un	ENSGALG00000033971	28
ENSMODG00000000291	1	ENSGALG00000005207	6
ENSMODG00000000292	2	ENSGALG00000008663	8
ENSMODG00000000294	1	ENSGALG00000045185	5
ENSMODG00000000298	2	ENSGALG00000011356	8
ENSMODG00000000299	2	ENSGALG00000028935	8
ENSMODG00000000300	1	ENSGALG00000041216	5
ENSMODG00000000303	1	ENSGALG00000029332	5
ENSMODG00000000305	7	ENSGALG00000016716	1
ENSMODG00000000306	3	ENSGALG00000038930	Z
ENSMODG00000000308	5	ENSGALG00000009880	4
ENSMODG00000000309	3	ENSGALG00000005824	15
ENSMODG00000000311	2	ENSGALG00000038776	8
ENSMODG00000000314	1	ENSGALG00000003815	20
ENSMODG00000000316	1	ENSGALG00000033675	5
ENSMODG00000000319	5	ENSGALG00000009886	4
ENSMODG00000000320	1	ENSGALG00000042511	3
ENSMODG00000000324	Un	ENSGALG00000030179	6
ENSMODG00000000325	4	ENSGALG00000011596	7
ENSMODG00000000326	7	ENSGALG00000016717	1
ENSMODG00000000329	2	ENSGALG00000000299	26
ENSMODG00000000330	1	ENSGALG00000040267	5
ENSMODG00000000334	3	ENSGALG00000040504	15
ENSMODG00000000336	5	ENSGALG00000009898	4
ENSMODG00000000339	1	ENSGALG00000009915	3
ENSMODG00000000342	1	ENSGALG00000037996	3
