Platypus	ChrPlatypus	Chicken	ChrChicken
ENSOANG00000000113	Ultra497	ENSGALG00000026736	12
ENSOANG00000000114	Ultra497	ENSGALG00000026080	12
ENSOANG00000000124	Ultra475	ENSGALG00000028536	5
ENSOANG00000000125	Ultra475	ENSGALG00000010835	5
ENSOANG00000000126	Contig1537	ENSGALG00000025773	26
ENSOANG00000000127	Contig1537	ENSGALG00000002830	26
ENSOANG00000000130	Contig5164	ENSGALG00000041989	14
ENSOANG00000000134	5	ENSGALG00000040651	10
ENSOANG00000000135	Ultra148	ENSGALG00000037665	33
ENSOANG00000000137	5	ENSGALG00000007048	10
ENSOANG00000000142	5	ENSGALG00000007057	10
ENSOANG00000000143	5	ENSGALG00000032366	10
ENSOANG00000000144	5	ENSGALG00000007092	10
ENSOANG00000000146	5	ENSGALG00000038688	10
ENSOANG00000000147	Contig11469	ENSGALG00000026315	19
ENSOANG00000000153	Contig19013	ENSGALG00000001833	19
ENSOANG00000000154	Contig3904	ENSGALG00000016047	1
ENSOANG00000000163	Contig903	ENSGALG00000028017	3
ENSOANG00000000166	Contig819	ENSGALG00000032933	1
ENSOANG00000000171	Contig819	ENSGALG00000038969	1
ENSOANG00000000173	Contig819	ENSGALG00000034198	1
ENSOANG00000000183	Contig819	ENSGALG00000038315	1
ENSOANG00000000204	1	ENSGALG00000037387	9
ENSOANG00000000209	Contig819	ENSGALG00000010077	4
ENSOANG00000000216	Contig819	ENSGALG00000043062	1
ENSOANG00000000222	Contig819	ENSGALG00000032198	1
ENSOANG00000000228	2	ENSGALG00000004840	15
ENSOANG00000000230	2	ENSGALG00000023266	15
ENSOANG00000000231	2	ENSGALG00000025972	15
ENSOANG00000000235	Contig20131	ENSGALG00000038585	4
ENSOANG00000000238	Ultra544	ENSGALG00000033083	4
ENSOANG00000000239	Ultra544	ENSGALG00000033260	4
ENSOANG00000000240	Ultra544	ENSGALG00000037525	4
ENSOANG00000000241	Ultra544	ENSGALG00000015722	4
ENSOANG00000000243	Ultra544	ENSGALG00000038433	4
ENSOANG00000000244	Ultra544	ENSGALG00000039942	4
ENSOANG00000000248	Ultra544	ENSGALG00000037699	4
ENSOANG00000000250	Contig32413	ENSGALG00000005217	9
ENSOANG00000000253	Contig26330	ENSGALG00000004238	14
ENSOANG00000000256	Ultra110	ENSGALG00000014614	6
ENSOANG00000000257	2	ENSGALG00000007664	9
ENSOANG00000000258	2	ENSGALG00000013818	3
ENSOANG00000000259	2	ENSGALG00000013822	3
ENSOANG00000000260	Contig38247	ENSGALG00000000787	11
ENSOANG00000000261	Contig7639	ENSGALG00000039511	AADN04020004.1
ENSOANG00000000263	Contig9992	ENSGALG00000029947	15
ENSOANG00000000265	Contig5917	ENSGALG00000000581	27
ENSOANG00000000266	Contig20329	ENSGALG00000000371	27
ENSOANG00000000267	Contig15877	ENSGALG00000021442	11
ENSOANG00000000271	2	ENSGALG00000013813	3
ENSOANG00000000274	Contig14888	ENSGALG00000036647	19
ENSOANG00000000275	Contig13102	ENSGALG00000028284	9
