Human	ChrHuman	Mouse	ChrMouse
ENSG00000000003	X	ENSMUSG00000067377	X
ENSG00000000005	X	ENSMUSG00000031250	X
ENSG00000000457	1	ENSMUSG00000026584	1
ENSG00000000460	1	ENSMUSG00000041406	1
ENSG00000000938	1	ENSMUSG00000028874	4
ENSG00000001036	6	ENSMUSG00000019810	10
ENSG00000001084	6	ENSMUSG00000032350	9
ENSG00000001167	6	ENSMUSG00000023994	17
ENSG00000001460	1	ENSMUSG00000028801	4
ENSG00000001461	1	ENSMUSG00000028803	4
ENSG00000001497	X	ENSMUSG00000057421	X
ENSG00000001561	6	ENSMUSG00000023961	17
ENSG00000001617	3	ENSMUSG00000034684	9
ENSG00000001626	7	ENSMUSG00000041301	6
ENSG00000001629	7	ENSMUSG00000040351	5
ENSG00000001630	7	ENSMUSG00000001467	5
ENSG00000001631	7	ENSMUSG00000000600	5
ENSG00000002016	12	ENSMUSG00000030166	6
ENSG00000002330	11	ENSMUSG00000024959	19
ENSG00000002549	4	ENSMUSG00000039682	5
ENSG00000002587	4	ENSMUSG00000051022	5
ENSG00000002745	7	ENSMUSG00000029671	6
ENSG00000002746	7	ENSMUSG00000021301	13
ENSG00000002822	7	ENSMUSG00000029554	5
ENSG00000002834	17	ENSMUSG00000038366	11
ENSG00000002919	17	ENSMUSG00000020876	11
ENSG00000002933	7	ENSMUSG00000023367	6
ENSG00000003056	12	ENSMUSG00000007458	6
ENSG00000003096	X	ENSMUSG00000036782	X
ENSG00000003137	2	ENSMUSG00000063415	6
ENSG00000003147	7	ENSMUSG00000062995	6
ENSG00000003249	16	ENSMUSG00000031970	8
ENSG00000003393	2	ENSMUSG00000026024	1
ENSG00000003402	2	ENSMUSG00000026031	1
ENSG00000003436	2	ENSMUSG00000027082	2
ENSG00000003509	2	ENSMUSG00000024082	17
ENSG00000003756	3	ENSMUSG00000032580	9
ENSG00000003987	8	ENSMUSG00000039431	8
ENSG00000003989	8	ENSMUSG00000031596	8
ENSG00000004059	7	ENSMUSG00000020440	6
ENSG00000004139	17	ENSMUSG00000050132	11
ENSG00000004142	17	ENSMUSG00000001100	11
ENSG00000004399	3	ENSMUSG00000030123	6
ENSG00000004455	1	ENSMUSG00000028792	4
ENSG00000004468	4	ENSMUSG00000029084	5
ENSG00000004478	12	ENSMUSG00000030357	6
ENSG00000004487	1	ENSMUSG00000036940	4
ENSG00000004534	3	ENSMUSG00000032582	9
ENSG00000004660	17	ENSMUSG00000020785	11
ENSG00000004700	12	ENSMUSG00000030243	6
ENSG00000004766	7	ENSMUSG00000001376	6
ENSG00000004776	19	ENSMUSG00000036854	7
ENSG00000004777	19	ENSMUSG00000036882	7
ENSG00000004779	16	ENSMUSG00000030869	7
ENSG00000004799	7	ENSMUSG00000019577	6
ENSG00000004809	6	ENSMUSG00000019834	10
ENSG00000004838	3	ENSMUSG00000010044	9
ENSG00000004846	7	ENSMUSG00000072791	12
ENSG00000004848	X	ENSMUSG00000035277	X
ENSG00000004864	7	ENSMUSG00000015112	6
ENSG00000004866	7	ENSMUSG00000029534	6
ENSG00000004897	17	ENSMUSG00000020687	11
ENSG00000004939	17	ENSMUSG00000006574	11
ENSG00000004948	7	ENSMUSG00000023964	6
ENSG00000004961	X	ENSMUSG00000031352	X
ENSG00000004975	17	ENSMUSG00000020888	11
ENSG00000005001	16	ENSMUSG00000045027	17
ENSG00000005007	19	ENSMUSG00000058301	8
ENSG00000005020	7	ENSMUSG00000059182	6
ENSG00000005022	X	ENSMUSG00000016319	X
ENSG00000005059	4	ENSMUSG00000027994	3
ENSG00000005073	7	ENSMUSG00000038210	6
ENSG00000005075	7	ENSMUSG00000039771	5
ENSG00000005100	17	ENSMUSG00000040620	11
ENSG00000005102	17	ENSMUSG00000001493	11
ENSG00000005108	7	ENSMUSG00000032625	6
ENSG00000005156	17	ENSMUSG00000020697	11
ENSG00000005175	12	ENSMUSG00000022466	15
ENSG00000005187	16	ENSMUSG00000030935	7
ENSG00000005189	16	ENSMUSG00000030924	7
ENSG00000005194	16	ENSMUSG00000031781	8
ENSG00000005206	19	ENSMUSG00000035206	10
ENSG00000005238	9	ENSMUSG00000036002	4
ENSG00000005243	17	ENSMUSG00000018672	11
ENSG00000005249	7	ENSMUSG00000002997	12
ENSG00000005302	X	ENSMUSG00000047669	10
ENSG00000005339	16	ENSMUSG00000022521	16
ENSG00000005379	17	ENSMUSG00000034156	11
ENSG00000005381	17	ENSMUSG00000009350	11
ENSG00000005421	7	ENSMUSG00000002588	6
ENSG00000005436	2	ENSMUSG00000035125	6
ENSG00000005448	2	ENSMUSG00000030032	6
ENSG00000005469	7	ENSMUSG00000003623	5
ENSG00000005471	7	ENSMUSG00000042476	5
ENSG00000005483	7	ENSMUSG00000029004	5
ENSG00000005486	7	ENSMUSG00000039917	5
ENSG00000005513	16	ENSMUSG00000024176	17
ENSG00000005700	6	ENSMUSG00000035941	9
ENSG00000005810	13	ENSMUSG00000033004	14
ENSG00000005812	13	ENSMUSG00000022124	14
ENSG00000005844	16	ENSMUSG00000030830	7
ENSG00000005882	17	ENSMUSG00000038967	11
ENSG00000005884	17	ENSMUSG00000001507	11
ENSG00000005893	X	ENSMUSG00000016534	X
ENSG00000005961	17	ENSMUSG00000034664	11
ENSG00000005981	7	ENSMUSG00000042607	6
ENSG00000006007	16	ENSMUSG00000033917	7
ENSG00000006015	19	ENSMUSG00000058833	8
ENSG00000006016	19	ENSMUSG00000007888	8
ENSG00000006025	17	ENSMUSG00000038534	11
ENSG00000006042	17	ENSMUSG00000035413	11
ENSG00000006047	17	ENSMUSG00000018554	11
ENSG00000006062	17	ENSMUSG00000020941	11
ENSG00000006071	11	ENSMUSG00000040136	7
ENSG00000006116	16	ENSMUSG00000066189	7
ENSG00000006118	11	ENSMUSG00000024736	19
ENSG00000006125	17	ENSMUSG00000035152	11
ENSG00000006128	7	ENSMUSG00000061762	6
ENSG00000006194	16	ENSMUSG00000022529	16
ENSG00000006210	16	ENSMUSG00000031778	8
ENSG00000006282	17	ENSMUSG00000020867	11
ENSG00000006283	17	ENSMUSG00000020866	11
ENSG00000006327	16	ENSMUSG00000023905	17
ENSG00000006377	7	ENSMUSG00000029754	6
ENSG00000006432	14	ENSMUSG00000042724	12
