Human	ChrHuman	Platypus	ChrPlatypus
ENSG00000000003	X	ENSOANG00000004206	Ultra519
ENSG00000000005	X	ENSOANG00000004204	Ultra519
ENSG00000000419	20	ENSOANG00000008673	Ultra516
ENSG00000000457	1	ENSOANG00000000881	Ultra341
ENSG00000000938	1	ENSOANG00000010074	Contig11810
ENSG00000001036	6	ENSOANG00000007663	2
ENSG00000001084	6	ENSOANG00000002861	Contig2358
ENSG00000001167	6	ENSOANG00000011990	Contig9241
ENSG00000001460	1	ENSOANG00000002206	Ultra280
ENSG00000001461	1	ENSOANG00000002205	Ultra280
ENSG00000001497	X	ENSOANG00000003054	Contig28418
ENSG00000001561	6	ENSOANG00000008268	Ultra2
ENSG00000001617	3	ENSOANG00000004411	X5
ENSG00000001626	7	ENSOANG00000008767	Ultra479
ENSG00000001629	7	ENSOANG00000006053	Contig15505
ENSG00000001630	7	ENSOANG00000013144	Contig23813
ENSG00000001631	7	ENSOANG00000021458	Contig14338
ENSG00000002016	12	ENSOANG00000013286	Contig10870
ENSG00000002549	4	ENSOANG00000006661	18
ENSG00000002586	X	ENSOANG00000019862	Ultra86
ENSG00000002587	4	ENSOANG00000012467	Contig9093
ENSG00000002745	7	ENSOANG00000005655	Ultra479
ENSG00000002746	7	ENSOANG00000010691	Contig48
ENSG00000002822	7	ENSOANG00000004310	2
ENSG00000002834	17	ENSOANG00000022458	Contig6608
ENSG00000002919	17	ENSOANG00000010839	Contig1056
ENSG00000003056	12	ENSOANG00000001573	Contig22149
ENSG00000003137	2	ENSOANG00000001810	Ultra191
ENSG00000003147	7	ENSOANG00000005251	Contig10013
ENSG00000003249	16	ENSOANG00000002350	11
ENSG00000003393	2	ENSOANG00000001687	Contig3401
ENSG00000003400	2	ENSOANG00000003495	Contig4334
ENSG00000003402	2	ENSOANG00000004490	Contig5817
ENSG00000003436	2	ENSOANG00000005244	Contig4011
ENSG00000003756	3	ENSOANG00000006557	X5
ENSG00000003989	8	ENSOANG00000005840	Ultra469
ENSG00000004059	7	ENSOANG00000000821	10
ENSG00000004139	17	ENSOANG00000029712	Contig60326
ENSG00000004142	17	ENSOANG00000015619	Contig6837
ENSG00000004455	1	ENSOANG00000005875	Ultra533
ENSG00000004468	4	ENSOANG00000020107	4
ENSG00000004478	12	ENSOANG00000001038	Contig12200
ENSG00000004487	1	ENSOANG00000004000	Contig6202
ENSG00000004534	3	ENSOANG00000006556	X5
ENSG00000004660	17	ENSOANG00000013706	Contig18405
ENSG00000004700	12	ENSOANG00000002400	Contig22703
