Human	ChrHuman	Chicken	ChrChicken
ENSG00000000003	X	ENSGALG00000006808	4
ENSG00000000005	X	ENSGALG00000006821	4
ENSG00000000419	20	ENSGALG00000017366	20
ENSG00000000457	1	ENSGALG00000036264	8
ENSG00000000460	1	ENSGALG00000032743	8
ENSG00000001036	6	ENSGALG00000013773	3
ENSG00000001084	6	ENSGALG00000016313	3
ENSG00000001167	6	ENSGALG00000003247	26
ENSG00000001461	1	ENSGALG00000004268	23
ENSG00000001497	X	ENSGALG00000043447	4
ENSG00000001561	6	ENSGALG00000016708	3
ENSG00000001617	3	ENSGALG00000029621	12
ENSG00000001626	7	ENSGALG00000032986	1
ENSG00000001629	7	ENSGALG00000031917	2
ENSG00000001630	7	ENSGALG00000009365	2
ENSG00000002016	12	ENSGALG00000039171	1
ENSG00000002549	4	ENSGALG00000006334	4
ENSG00000002586	X	ENSGALG00000024488	1
ENSG00000002587	4	ENSGALG00000014934	4
ENSG00000002726	7	ENSGALG00000036190	2
ENSG00000002745	7	ENSGALG00000028069	1
ENSG00000002746	7	ENSGALG00000037193	2
ENSG00000002822	7	ENSGALG00000004224	14
ENSG00000002834	17	ENSGALG00000039299	27
ENSG00000002919	17	ENSGALG00000017553	27
ENSG00000003056	12	ENSGALG00000031681	1
ENSG00000003137	2	ENSGALG00000016102	4
ENSG00000003147	7	ENSGALG00000010708	2
ENSG00000003249	16	ENSGALG00000000528	11
ENSG00000003393	2	ENSGALG00000008415	7
ENSG00000003400	2	ENSGALG00000046494	7
ENSG00000003402	2	ENSGALG00000008240	7
ENSG00000003436	2	ENSGALG00000002594	7
ENSG00000003509	2	ENSGALG00000010609	3
ENSG00000003756	3	ENSGALG00000039288	12
ENSG00000003989	8	ENSGALG00000013627	4
ENSG00000004059	7	ENSGALG00000043476	1
ENSG00000004139	17	ENSGALG00000003595	19
ENSG00000004142	17	ENSGALG00000003211	19
ENSG00000004399	3	ENSGALG00000008473	12
ENSG00000004455	1	ENSGALG00000003597	23
ENSG00000004468	4	ENSGALG00000014508	4
ENSG00000004478	12	ENSGALG00000014331	1
ENSG00000004487	1	ENSGALG00000033469	23
ENSG00000004534	3	ENSGALG00000035578	12
ENSG00000004660	17	ENSGALG00000001617	19
ENSG00000004700	12	ENSGALG00000013174	1
ENSG00000004766	7	ENSGALG00000009500	2
ENSG00000004779	16	ENSGALG00000006073	14
ENSG00000004799	7	ENSGALG00000009700	2
ENSG00000004809	6	ENSGALG00000015055	3
ENSG00000004838	3	ENSGALG00000035883	12
ENSG00000004848	X	ENSGALG00000033279	Z
ENSG00000004866	7	ENSGALG00000037206	1
ENSG00000004897	17	ENSGALG00000000596	27
ENSG00000004939	17	ENSGALG00000039978	AADN04005854.1
ENSG00000004948	7	ENSGALG00000009509	2
ENSG00000004961	X	ENSGALG00000005571	8
ENSG00000005007	19	ENSGALG00000003220	28
ENSG00000005020	7	ENSGALG00000030081	2
ENSG00000005022	X	ENSGALG00000008675	4
ENSG00000005059	4	ENSGALG00000012196	4
ENSG00000005073	7	ENSGALG00000040021	2
ENSG00000005100	17	ENSGALG00000001630	19
ENSG00000005102	17	ENSGALG00000001191	27
ENSG00000005108	7	ENSGALG00000010718	2
ENSG00000005156	17	ENSGALG00000002288	19
ENSG00000005175	12	ENSGALG00000009743	1
ENSG00000005187	16	ENSGALG00000002200	14
ENSG00000005189	16	ENSGALG00000002239	14
ENSG00000005194	16	ENSGALG00000029268	11
ENSG00000005206	19	ENSGALG00000000430	28
ENSG00000005249	7	ENSGALG00000008060	1
ENSG00000005302	X	ENSGALG00000041433	1
ENSG00000005339	16	ENSGALG00000007762	14
ENSG00000005379	17	ENSGALG00000042533	19
ENSG00000005448	2	ENSGALG00000031570	AADN04000623.1
ENSG00000005469	7	ENSGALG00000008813	2
ENSG00000005483	7	ENSGALG00000008167	1
ENSG00000005486	7	ENSGALG00000035035	19
ENSG00000005513	16	ENSGALG00000005263	14
ENSG00000005700	6	ENSGALG00000015864	3
ENSG00000005810	13	ENSGALG00000016915	1
ENSG00000005812	13	ENSGALG00000045204	1
ENSG00000005884	17	ENSGALG00000032702	27
ENSG00000005893	X	ENSGALG00000008572	4
ENSG00000006007	16	ENSGALG00000006916	14
ENSG00000006015	19	ENSGALG00000034918	28
ENSG00000006016	19	ENSGALG00000026146	28
ENSG00000006025	17	ENSGALG00000032149	27
ENSG00000006042	17	ENSGALG00000031762	27
ENSG00000006062	17	ENSGALG00000000685	27
ENSG00000006071	11	ENSGALG00000006172	5
ENSG00000006116	16	ENSGALG00000038087	14
ENSG00000006118	11	ENSGALG00000031067	5
ENSG00000006125	17	ENSGALG00000042125	19
ENSG00000006128	7	ENSGALG00000009737	2
ENSG00000006282	17	ENSGALG00000006857	18
ENSG00000006283	17	ENSGALG00000007623	18
ENSG00000006377	7	ENSGALG00000023195	2
ENSG00000006432	14	ENSGALG00000037326	5
ENSG00000006451	7	ENSGALG00000031893	2
ENSG00000006453	7	ENSGALG00000003548	14
ENSG00000006459	7	ENSGALG00000035108	1
ENSG00000006468	7	ENSGALG00000035504	2
ENSG00000006530	7	ENSGALG00000012870	1
ENSG00000006576	7	ENSGALG00000008335	1
ENSG00000006606	7	ENSGALG00000034987	19
ENSG00000006607	2	ENSGALG00000005788	9
ENSG00000006611	11	ENSGALG00000006192	5
ENSG00000006634	7	ENSGALG00000008963	2
ENSG00000006638	19	ENSGALG00000037888	28
ENSG00000006652	7	ENSGALG00000009448	1
ENSG00000006695	17	ENSGALG00000001375	18
ENSG00000006704	7	ENSGALG00000001263	19
ENSG00000006712	19	ENSGALG00000037879	32
ENSG00000006715	7	ENSGALG00000031635	2
ENSG00000006744	17	ENSGALG00000001036	18
ENSG00000006747	7	ENSGALG00000010770	2
ENSG00000006757	X	ENSGALG00000016618	1
ENSG00000006788	17	ENSGALG00000029660	18
ENSG00000006831	12	ENSGALG00000035533	1
ENSG00000007001	2	ENSGALG00000045427	7
ENSG00000007062	4	ENSGALG00000014496	4
ENSG00000007080	19	ENSGALG00000030992	28
ENSG00000007168	17	ENSGALG00000005834	19
ENSG00000007171	17	ENSGALG00000038096	19
ENSG00000007202	17	ENSGALG00000003766	19
ENSG00000007216	17	ENSGALG00000003647	19
ENSG00000007237	17	ENSGALG00000032452	18
ENSG00000007264	19	ENSGALG00000000736	28
ENSG00000007312	17	ENSGALG00000000251	27
ENSG00000007314	17	ENSGALG00000034427	27
ENSG00000007341	1	ENSGALG00000001538	26
ENSG00000007372	11	ENSGALG00000012123	5
ENSG00000007376	16	ENSGALG00000005315	14
ENSG00000007384	16	ENSGALG00000007434	14
ENSG00000007392	16	ENSGALG00000037983	14
