Gene_ID	CDS_length	chr	testis_TR.R1	testis_TR.R2	testis_TR.R3	testis_RP.R1	testis_RP.R2	testis_RP.R3	spermatocytes_TR.R1	spermatocytes_TR.R2	spermatocytes_RP.R1	spermatocytes_RP.R2	roundSpermatids_TR.R1	roundSpermatids_TR.R2	roundSpermatids_RP.R1	roundSpermatids_RP.R2	elongatingSpermatids_TR.R1	elongatingSpermatids_TR.R2	elongatingSpermatids_RP.R1	elongatingSpermatids_RP.R2	spermatozoa_TR.R1	spermatozoa_TR.R2	spermatozoa_RP.R1	spermatozoa_RP.R2
ENSMUSG00000000001	1065	3	67.4486	45.5331	43.048	145.2319	126.2575	127.8973	50.4611	51.8461	100.3143	92.8088	16.0119	14.3277	23.9593	24.0689	10.8994	5.588	22.5734	9.7722	188.6383	197.9623	204.4428	194.1171
ENSMUSG00000000028	1701	16	25.6548	29.9438	26.2496	30.2292	33.9458	29.8769	37.723	36.7848	58.3823	58.8104	18.7145	16.2169	48.2335	39.0188	3.9213	2.0568	5.0561	2.8884	4.2905	4.1637	1.9281	1.5456
ENSMUSG00000000037	981	X	16.8245	11.0672	14.9134	33.8116	33.7237	35.0805	3.2589	2.2555	5.2743	3.3991	8.2033	8.6364	17.6175	21.5169	2.3416	2.3971	3.6612	3.0926	0.0552	0.1524	0.0996	0.0754
ENSMUSG00000000049	1038	11	47.6467	57.7131	67.8148	12.3211	10.5823	21.6799	16.256	8.9539	5.1631	1.5778	85.5046	86.8055	37.1816	35.382	138.6598	142.8134	43.5811	61.3289	13.3666	5.1783	4.0146	8.2318
ENSMUSG00000000056	1389	11	9.5176	5.4371	4.7077	17.0111	9.5746	11.4023	3.7998	2.4763	4.8493	3.5692	2.4284	2.9896	6.5631	6.6779	1.7774	1.4022	2.6084	1.8256	55.083	43.4323	24.9729	22.335
ENSMUSG00000000058	489	6	7.4367	3.5997	2.2453	26.7676	14.4589	11.0426	0.319	0.1497	0.7187	0.0905	0.0479	0.1348	1.4809	0.8972	0.1771	0.2213	0.9002	0	205.665	384.3318	333.3721	332.9832
ENSMUSG00000000078	957	13	12.9199	5.1621	5.0226	37.7797	20.2733	21.1931	2.2549	1.1471	6.7324	2.8214	2.57	2.1351	9.0806	8.1862	1.9009	0.9045	6.9702	2.1529	94.2784	120.3934	87.8732	80.0359
ENSMUSG00000000085	1567	4	12.728	11.7796	11.147	10.5036	10.4768	14.1425	14.5627	12.4558	11.3222	5.8226	11.6071	12.1821	8.817	4.1368	12.5589	15.5768	2.4266	1.8183	10.474	14.7283	12.1884	13.945
ENSMUSG00000000088	441	9	234.2883	258.1637	251.1848	523.8839	599.7945	530.2659	300.675	294.97	793.3741	853.1599	277.4769	268.7367	725.4343	515.5975	63.2506	36.8861	129.1445	68.8819	399.5428	272.8768	544.0745	462.6257
ENSMUSG00000000093	2136	11	2.6639	0.8507	0.891	6.3562	2.2067	1.4152	0.3652	0.4283	0.6718	0.5595	0.1974	0.1389	0.8576	0.4401	0.2231	0.0675	0.1268	0.0247	87.5587	129.966	40.3817	41.3361
ENSMUSG00000000103	NA	Y	2.3096	2.8708	3.6902	1.4623	2.6687	3.4427	0.9357	0.2979	0.4266	0.2655	3.3219	2.6264	3.6868	3.3297	1.1877	1.3599	0.4932	0.7696	0	0.0271	0	0
ENSMUSG00000000120	1284	11	4.4302	3.4719	2.7672	2.6631	1.8262	0.7899	3.5128	4.6912	1.213	1.3969	4.5739	5.1678	4.117	3.8321	1.5377	1.4939	1.5361	0.2605	0	0.3742	0.0381	0.1729
ENSMUSG00000000125	1068	11	16.1839	32.645	33.6518	1.0886	3.5072	2.6853	9.762	3.4261	1.3162	0.1658	42.5055	41.1961	10.889	6.5138	145.9986	147.6837	2.0925	2.869	0.0751	3.6118	0.1084	0
ENSMUSG00000000126	1098	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000127	2472	17	44.3061	53.2916	58.1851	22.136	24.0393	27.0386	44.5631	41.6092	19.9859	14.4861	64.094	66.527	28.1579	23.8574	82.2981	79.5922	5.027	3.8041	19.7579	26.5531	13.5092	18.9489
ENSMUSG00000000131	3378	7	90.8095	69.5753	69.514	34.9406	36.1554	36.7204	97.2558	81.2524	21.1711	15.0953	82.5182	81.0848	25.0952	17.1619	56.1478	72.8197	10.6853	7.3035	25.2137	36.5041	14.8946	15.8773
ENSMUSG00000000134	1404	X	4.3803	2.9729	2.3278	15.4472	12.0945	15.015	0.3025	0.0851	1.2096	0.3605	0.5587	0.4601	3.1224	2.6251	1.3354	0.6085	4.5501	1.9362	5.0854	7.5045	7.8673	8.0295
ENSMUSG00000000142	2523	11	1.9899	1.1319	1.2699	3.4473	3.4023	3.6051	0.7198	0.4457	1.2324	0.5882	0.2335	0.146	0.3774	0.4858	0.2878	0.1198	0.525	0	0.5329	0.9804	0	0.3882
ENSMUSG00000000148	2604	5	10.8929	8.8533	8.8733	15.8145	9.3578	9.3464	7.5782	8.2344	5.7357	5.5585	4.8395	4.0247	5.8074	5.0062	3.1936	1.4821	3.1338	0.9332	25.9324	24.2114	19.6478	16.4571
ENSMUSG00000000149	1140	5	28.5971	19.9239	18.8345	22.2071	23.8486	20.7826	16.512	15.5352	2.3891	1.0872	7.4382	9.1643	2.1673	1.3194	16.3373	17.7177	3.386	1.4829	27.9291	33.5041	15.3491	13.8374
ENSMUSG00000000154	NA	7	8.0914	7.4279	7.6139	13.5953	7.9595	5.2732	9.486	10.467	5.631	4.4996	7.125	8.1548	2.9876	3.062	2.6281	2.1317	1.2007	0.8326	17.3165	20.8794	44.5286	46.926
ENSMUSG00000000157	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000159	NA	16	2.2266	1.161	0.9524	2.0217	0.9387	0.5283	0.3866	0	0.1633	0	0.7402	0.4901	1.5836	1.0484	4.1059	2.7487	1.4476	2.8477	83.0318	51.1297	24.3483	18.6513
ENSMUSG00000000167	948	9	92.8772	80.8621	88.2284	49.2158	61.4417	57.1785	140.2549	150.8809	126.3802	139.8423	88.4333	90.1794	68.841	74.2427	20.6513	14.5719	13.2512	8.9721	4.6529	4.8028	4.3753	4.3449
ENSMUSG00000000168	1929	9	86.2759	83.8059	81.6849	119.5737	132.3445	127.2008	146.7107	176.3169	194.328	246.2167	67.88	71.7397	72.6762	77.8461	16.9749	9.8164	18.7995	12.0776	94.3353	72.2841	55.4563	52.7001
ENSMUSG00000000171	480	9	63.3724	48.8572	48.2901	150.412	111.3521	110.7745	69.8738	77.3752	277.4834	256.2698	15.2744	18.0576	71.8854	69.9851	12.9036	4.6588	32.1671	9.6854	238.0923	192.8707	242.0767	148.3432
ENSMUSG00000000184	870	6	3.4423	1.2401	1.5705	20.5633	14.7058	19.125	0.1793	0.1262	0.7069	1.1702	0.0538	0.1894	1.1751	1.6569	0.6472	0.2073	2.8411	1.3966	0.3687	0.5815	0.4435	2.3672
ENSMUSG00000000194	1656	2	42.1889	39.8785	39.6782	47.9688	33.5975	35.7282	44.6671	51.5945	33.0881	24.003	32.1232	34.5291	29.7882	32.6991	8.0819	5.7718	7.2996	3.4454	107.9013	93.8616	89.7389	111.9007
ENSMUSG00000000197	5220	14	1.5919	1.6224	1.7509	0.7227	1.3143	1.1845	0.5701	0.0729	0.253	0.0882	1.93	1.1387	1.9813	1.874	1.8994	2.4924	1.1249	2.0711	0	0.1681	0	0
ENSMUSG00000000202	1437	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
