Human	ChrHuman	Macaque	ChrMacaque
ENSG00000000003	X	ENSMMUG00000008209	X
ENSG00000000005	X	ENSMMUG00000008212	X
ENSG00000000419	20	ENSMMUG00000002759	10
ENSG00000000457	1	ENSMMUG00000016583	1
ENSG00000000460	1	ENSMMUG00000016582	1
ENSG00000000938	1	ENSMMUG00000014434	1
ENSG00000001036	6	ENSMMUG00000005366	4
ENSG00000001084	6	ENSMMUG00000008684	4
ENSG00000001167	6	ENSMMUG00000021173	4
ENSG00000001460	1	ENSMMUG00000004464	1
ENSG00000001461	1	ENSMMUG00000004466	1
ENSG00000001497	X	ENSMMUG00000003922	X
ENSG00000001561	6	ENSMMUG00000042260	4
ENSG00000001617	3	ENSMMUG00000010337	2
ENSG00000001626	7	ENSMMUG00000011269	3
ENSG00000001629	7	ENSMMUG00000005120	3
ENSG00000001630	7	ENSMMUG00000038190	3
ENSG00000001631	7	ENSMMUG00000014907	3
ENSG00000002016	12	ENSMMUG00000018654	11
ENSG00000002330	11	ENSMMUG00000012952	14
ENSG00000002587	4	ENSMMUG00000001341	5
ENSG00000002726	7	ENSMMUG00000020435	3
ENSG00000002745	7	ENSMMUG00000002439	3
ENSG00000002746	7	ENSMMUG00000019015	3
ENSG00000002822	7	ENSMMUG00000011659	3
ENSG00000002834	17	ENSMMUG00000007799	16
ENSG00000002919	17	ENSMMUG00000020658	16
ENSG00000002933	7	ENSMMUG00000047504	3
ENSG00000003056	12	ENSMMUG00000017846	11
ENSG00000003096	X	ENSMMUG00000002293	X
ENSG00000003137	2	ENSMMUG00000012141	13
ENSG00000003147	7	ENSMMUG00000005435	3
ENSG00000003249	16	ENSMMUG00000000398	20
ENSG00000003393	2	ENSMMUG00000018155	12
ENSG00000003400	2	ENSMMUG00000031297	12
ENSG00000003402	2	ENSMMUG00000012310	12
ENSG00000003436	2	ENSMMUG00000009448	12
ENSG00000003509	2	ENSMMUG00000016434	13
ENSG00000003756	3	ENSMMUG00000004921	2
ENSG00000003987	8	ENSMMUG00000001878	8
ENSG00000003989	8	ENSMMUG00000022303	8
ENSG00000004059	7	ENSMMUG00000046381	3
ENSG00000004142	17	ENSMMUG00000019146	16
ENSG00000004399	3	ENSMMUG00000012737	2
ENSG00000004455	1	ENSMMUG00000006284	1
ENSG00000004468	4	ENSMMUG00000015298	5
ENSG00000004478	12	ENSMMUG00000007405	11
ENSG00000004487	1	ENSMMUG00000009773	1
ENSG00000004534	3	ENSMMUG00000003494	2
ENSG00000004660	17	ENSMMUG00000020251	16
ENSG00000004700	12	ENSMMUG00000010857	11
ENSG00000004766	7	ENSMMUG00000017311	3
ENSG00000004776	19	ENSMMUG00000002389	19
ENSG00000004777	19	ENSMMUG00000002394	19
ENSG00000004779	16	ENSMMUG00000031759	15
ENSG00000004799	7	ENSMMUG00000021389	3
ENSG00000004809	6	ENSMMUG00000008187	4
ENSG00000004838	3	ENSMMUG00000007006	2
ENSG00000004846	7	ENSMMUG00000007821	3
ENSG00000004864	7	ENSMMUG00000005250	3
ENSG00000004866	7	ENSMMUG00000021722	3
ENSG00000004897	17	ENSMMUG00000018599	16
ENSG00000004939	17	ENSMMUG00000017100	16
ENSG00000004948	7	ENSMMUG00000014319	3
ENSG00000004961	X	ENSMMUG00000013993	X
ENSG00000005001	16	ENSMMUG00000037718	KQ743622.1
ENSG00000005007	19	ENSMMUG00000023286	19
ENSG00000005020	7	ENSMMUG00000018544	3
ENSG00000005022	X	ENSMMUG00000020282	X
ENSG00000005100	17	ENSMMUG00000006594	16
ENSG00000005102	17	ENSMMUG00000013464	3
ENSG00000005108	7	ENSMMUG00000012694	3
ENSG00000005156	17	ENSMMUG00000004794	16
ENSG00000005175	12	ENSMMUG00000007482	11
ENSG00000005187	16	ENSMMUG00000016745	20
ENSG00000005189	16	ENSMMUG00000016748	20
ENSG00000005194	16	ENSMMUG00000020472	20
ENSG00000005206	19	ENSMMUG00000000453	19
ENSG00000005238	9	ENSMMUG00000011862	15
