Human	Opossum	ChrOpossum	ChrHuman
ENSG00000198888	ENSMODG00000027819	Un	MT
ENSG00000198888	ENSMODG00000021562	MT	MT
ENSG00000198763	ENSMODG00000021566	MT	MT
ENSG00000198804	ENSMODG00000021572	MT	MT
ENSG00000198712	ENSMODG00000021575	MT	MT
ENSG00000228253	ENSMODG00000021577	MT	MT
ENSG00000198899	ENSMODG00000021578	MT	MT
ENSG00000198899	ENSMODG00000028188	Un	MT
ENSG00000188152	ENSMODG00000001746	1	9
ENSG00000198938	ENSMODG00000021579	MT	MT
ENSG00000198840	ENSMODG00000021581	MT	MT
ENSG00000189139	ENSMODG00000011372	1	14
ENSG00000212907	ENSMODG00000021583	MT	MT
ENSG00000200530	ENSMODG00000027106	4	19
ENSG00000198886	ENSMODG00000021584	MT	MT
ENSG00000207500	ENSMODG00000026684	4	13
ENSG00000198786	ENSMODG00000021588	MT	MT
ENSG00000222445	ENSMODG00000027082	3	6
ENSG00000198695	ENSMODG00000021589	MT	MT
ENSG00000198727	ENSMODG00000021591	MT	MT
ENSG00000252182	ENSMODG00000027251	6	16
ENSG00000252182	ENSMODG00000026622	5	16
ENSG00000252182	ENSMODG00000027009	8	16
ENSG00000207249	ENSMODG00000022224	3	2
ENSG00000200372	ENSMODG00000026991	2	3
ENSG00000207241	ENSMODG00000021796	2	1
ENSG00000280496	ENSMODG00000021750	1	9
ENSG00000280496	ENSMODG00000026031	1	9
ENSG00000202245	ENSMODG00000022219	3	10
ENSG00000202245	ENSMODG00000021869	4	10
ENSG00000202245	ENSMODG00000022051	4	10
ENSG00000202245	ENSMODG00000026999	6	10
ENSG00000202245	ENSMODG00000027114	5	10
ENSG00000202245	ENSMODG00000021811	X	10
ENSG00000202245	ENSMODG00000022483	3	10
ENSG00000202245	ENSMODG00000026958	7	10
ENSG00000251861	ENSMODG00000027249	2	1
ENSG00000223142	ENSMODG00000027250	1	22
ENSG00000206776	ENSMODG00000021943	4	8
ENSG00000184203	ENSMODG00000004683	3	3
ENSG00000184203	ENSMODG00000019805	Un	3
ENSG00000207161	ENSMODG00000022278	8	2
ENSG00000207161	ENSMODG00000021656	6	2
ENSG00000207161	ENSMODG00000021961	4	2
ENSG00000117650	ENSMODG00000002788	2	1
ENSG00000084090	ENSMODG00000008313	1	2
ENSG00000238698	ENSMODG00000027005	Un	2
ENSG00000199514	ENSMODG00000021753	6	3
ENSG00000199514	ENSMODG00000022256	3	3
ENSG00000111802	ENSMODG00000011653	3	6
ENSG00000276788	ENSMODG00000027252	5	11
ENSG00000199282	ENSMODG00000026524	6	13
ENSG00000199282	ENSMODG00000026931	6	13
ENSG00000199282	ENSMODG00000027111	3	13
ENSG00000199415	ENSMODG00000026869	Un	12
ENSG00000239189	ENSMODG00000026990	1	2
ENSG00000201523	ENSMODG00000026595	6	6
ENSG00000201523	ENSMODG00000026841	4	6
ENSG00000163291	ENSMODG00000020805	5	4
ENSG00000252532	ENSMODG00000027005	Un	10
ENSG00000201388	ENSMODG00000026567	3	19
ENSG00000201388	ENSMODG00000026596	3	19
ENSG00000201388	ENSMODG00000027090	6	19
ENSG00000201813	ENSMODG00000022236	6	2
ENSG00000252460	ENSMODG00000026989	1	4
ENSG00000206649	ENSMODG00000026602	2	8
ENSG00000252262	ENSMODG00000026595	6	1
ENSG00000252262	ENSMODG00000026841	4	1
ENSG00000207516	ENSMODG00000021776	7	15
ENSG00000200003	ENSMODG00000026553	1	2
ENSG00000200003	ENSMODG00000022101	2	2
ENSG00000200003	ENSMODG00000021598	4	2
ENSG00000200003	ENSMODG00000027208	1	2
ENSG00000201701	ENSMODG00000021749	4	3
