Macaque	ChrMacaque	Chicken	ChrChicken
ENSMMUG00000000001	20	ENSGALG00000038502	14
ENSMMUG00000000005	10	ENSGALG00000011900	1
ENSMMUG00000000007	3	ENSGALG00000024485	2
ENSMMUG00000000009	1	ENSGALG00000002192	8
ENSMMUG00000000010	7	ENSGALG00000009637	5
ENSMMUG00000000013	7	ENSGALG00000009633	5
ENSMMUG00000000015	1	ENSGALG00000020032	3
ENSMMUG00000000016	1	ENSGALG00000010702	3
ENSMMUG00000000017	14	ENSGALG00000037748	AADN04000990.1
ENSMMUG00000000019	14	ENSGALG00000036935	AADN04000990.1
ENSMMUG00000000021	1	ENSGALG00000010691	3
ENSMMUG00000000022	14	ENSGALG00000031916	AADN04000990.1
ENSMMUG00000000023	7	ENSGALG00000012396	5
ENSMMUG00000000024	7	ENSGALG00000029768	5
ENSMMUG00000000026	X	ENSGALG00000037258	2
ENSMMUG00000000029	20	ENSGALG00000034216	11
ENSMMUG00000000031	11	ENSGALG00000002714	15
ENSMMUG00000000033	4	ENSGALG00000032029	3
ENSMMUG00000000038	1	ENSGALG00000000576	25
ENSMMUG00000000039	1	ENSGALG00000030994	25
ENSMMUG00000000040	7	ENSGALG00000010001	5
ENSMMUG00000000042	12	ENSGALG00000012444	7
ENSMMUG00000000043	12	ENSGALG00000012448	7
ENSMMUG00000000044	20	ENSGALG00000009318	14
ENSMMUG00000000048	17	ENSGALG00000027514	1
ENSMMUG00000000049	17	ENSGALG00000016913	1
ENSMMUG00000000051	2	ENSGALG00000012067	7
ENSMMUG00000000056	2	ENSGALG00000011428	2
ENSMMUG00000000058	2	ENSGALG00000032316	2
ENSMMUG00000000059	2	ENSGALG00000034461	2
ENSMMUG00000000063	1	ENSGALG00000000217	26
ENSMMUG00000000065	1	ENSGALG00000015221	1
ENSMMUG00000000067	2	ENSGALG00000011294	2
ENSMMUG00000000069	10	ENSGALG00000007771	20
ENSMMUG00000000070	10	ENSGALG00000007768	20
ENSMMUG00000000072	10	ENSGALG00000007757	20
ENSMMUG00000000073	10	ENSGALG00000007744	20
ENSMMUG00000000074	10	ENSGALG00000007709	20
ENSMMUG00000000075	2	ENSGALG00000033186	1
ENSMMUG00000000081	2	ENSGALG00000007023	12
ENSMMUG00000000083	1	ENSGALG00000042539	AADN04019854.1
ENSMMUG00000000089	10	ENSGALG00000009037	3
ENSMMUG00000000090	1	ENSGALG00000029918	25
ENSMMUG00000000092	1	ENSGALG00000045611	25
ENSMMUG00000000098	7	ENSGALG00000036286	5
ENSMMUG00000000100	7	ENSGALG00000011162	5
ENSMMUG00000000108	11	ENSGALG00000035386	AADN04001865.1
ENSMMUG00000000117	10	ENSGALG00000006522	20
ENSMMUG00000000118	10	ENSGALG00000006586	20
ENSMMUG00000000121	11	ENSGALG00000010342	1
ENSMMUG00000000122	4	ENSGALG00000004607	8
ENSMMUG00000000123	4	ENSGALG00000026981	3
ENSMMUG00000000125	10	ENSGALG00000007554	20
ENSMMUG00000000129	8	ENSGALG00000010122	4
ENSMMUG00000000130	8	ENSGALG00000010125	4
ENSMMUG00000000134	1	ENSGALG00000026009	3
ENSMMUG00000000135	15	ENSGALG00000010187	Z
ENSMMUG00000000137	6	ENSGALG00000021542	13
ENSMMUG00000000138	16	ENSGALG00000005096	14
ENSMMUG00000000140	16	ENSGALG00000035919	14
ENSMMUG00000000141	15	ENSGALG00000014448	Z
ENSMMUG00000000142	6	ENSGALG00000026037	13
ENSMMUG00000000143	15	ENSGALG00000014447	Z
ENSMMUG00000000145	1	ENSGALG00000030096	21
ENSMMUG00000000149	10	ENSGALG00000042419	1
ENSMMUG00000000151	10	ENSGALG00000012483	1
ENSMMUG00000000152	11	ENSGALG00000035530	KQ759546.1
ENSMMUG00000000153	16	ENSGALG00000032702	27
ENSMMUG00000000158	2	ENSGALG00000006037	12
ENSMMUG00000000159	19	ENSGALG00000034918	28
ENSMMUG00000000163	8	ENSGALG00000015382	Z
ENSMMUG00000000164	2	ENSGALG00000006009	12
ENSMMUG00000000166	2	ENSGALG00000005999	12
ENSMMUG00000000167	10	ENSGALG00000006123	20
ENSMMUG00000000168	2	ENSGALG00000032736	12
ENSMMUG00000000169	10	ENSGALG00000006101	20
ENSMMUG00000000171	10	ENSGALG00000006092	20
ENSMMUG00000000172	15	ENSGALG00000030176	17
ENSMMUG00000000173	15	ENSGALG00000008838	17
ENSMMUG00000000180	10	ENSGALG00000036255	1
ENSMMUG00000000181	13	ENSGALG00000000476	22
ENSMMUG00000000182	3	ENSGALG00000004629	14
ENSMMUG00000000183	11	ENSGALG00000007102	15
ENSMMUG00000000184	2	ENSGALG00000007595	9
ENSMMUG00000000185	14	ENSGALG00000040418	1
ENSMMUG00000000187	14	ENSGALG00000000845	1
ENSMMUG00000000190	12	ENSGALG00000008501	7
ENSMMUG00000000192	X	ENSGALG00000016415	1
ENSMMUG00000000194	19	ENSGALG00000040553	AADN04000659.1
ENSMMUG00000000195	19	ENSGALG00000030533	AADN04000659.1
ENSMMUG00000000199	13	ENSGALG00000043262	AADN04001130.1
ENSMMUG00000000200	8	ENSGALG00000045668	22
ENSMMUG00000000203	11	ENSGALG00000009577	1
ENSMMUG00000000204	11	ENSGALG00000009586	1
ENSMMUG00000000205	11	ENSGALG00000009596	1
ENSMMUG00000000208	8	ENSGALG00000015422	Z
ENSMMUG00000000215	19	ENSGALG00000039681	KQ759568.1
ENSMMUG00000000220	2	ENSGALG00000040873	2
ENSMMUG00000000222	4	ENSGALG00000015824	3
ENSMMUG00000000223	4	ENSGALG00000015826	3
ENSMMUG00000000224	4	ENSGALG00000013829	3
ENSMMUG00000000226	20	ENSGALG00000039818	11
ENSMMUG00000000227	10	ENSGALG00000030985	20
ENSMMUG00000000229	10	ENSGALG00000003147	20
ENSMMUG00000000232	5	ENSGALG00000039394	4
ENSMMUG00000000237	5	ENSGALG00000039380	4
ENSMMUG00000000238	9	ENSGALG00000038043	6
ENSMMUG00000000242	9	ENSGALG00000006670	6
ENSMMUG00000000244	1	ENSGALG00000002369	8
ENSMMUG00000000245	1	ENSGALG00000032398	8
ENSMMUG00000000246	3	ENSGALG00000013102	2
ENSMMUG00000000252	10	ENSGALG00000007653	20
ENSMMUG00000000256	16	ENSGALG00000011219	18
ENSMMUG00000000258	16	ENSGALG00000042814	18
ENSMMUG00000000261	10	ENSGALG00000006642	15
ENSMMUG00000000262	10	ENSGALG00000006627	15
ENSMMUG00000000263	10	ENSGALG00000006607	15
ENSMMUG00000000264	10	ENSGALG00000006596	15
ENSMMUG00000000265	2	ENSGALG00000041750	12
ENSMMUG00000000266	8	ENSGALG00000033144	2
ENSMMUG00000000270	10	ENSGALG00000040755	20
ENSMMUG00000000275	9	ENSGALG00000002266	6
ENSMMUG00000000276	15	ENSGALG00000001728	17
ENSMMUG00000000277	7	ENSGALG00000026271	10
ENSMMUG00000000278	7	ENSGALG00000003985	10
ENSMMUG00000000284	5	ENSGALG00000010674	4
ENSMMUG00000000286	18	ENSGALG00000041404	2
ENSMMUG00000000287	2	ENSGALG00000026187	9
ENSMMUG00000000290	2	ENSGALG00000037875	9
ENSMMUG00000000291	13	ENSGALG00000015967	4
ENSMMUG00000000297	X	ENSGALG00000041423	4
ENSMMUG00000000300	12	ENSGALG00000041577	7
ENSMMUG00000000302	7	ENSGALG00000012199	5
ENSMMUG00000000304	7	ENSGALG00000012179	5
ENSMMUG00000000306	7	ENSGALG00000035242	5
ENSMMUG00000000307	6	ENSGALG00000015288	Z
ENSMMUG00000000312	12	ENSGALG00000008714	7
ENSMMUG00000000314	12	ENSGALG00000031688	7
ENSMMUG00000000315	7	ENSGALG00000020454	5
ENSMMUG00000000316	14	ENSGALG00000013297	5
ENSMMUG00000000321	7	ENSGALG00000010680	5
ENSMMUG00000000329	11	ENSGALG00000031222	AADN04002600.1
ENSMMUG00000000330	6	ENSGALG00000000220	Z
ENSMMUG00000000332	6	ENSGALG00000029429	13
ENSMMUG00000000336	14	ENSGALG00000006342	5
ENSMMUG00000000340	6	ENSGALG00000006309	13
ENSMMUG00000000342	6	ENSGALG00000006297	13
ENSMMUG00000000343	14	ENSGALG00000006490	24
ENSMMUG00000000350	17	ENSGALG00000016860	1
ENSMMUG00000000353	17	ENSGALG00000016859	1
ENSMMUG00000000357	15	ENSGALG00000015108	Z
ENSMMUG00000000358	6	ENSGALG00000006424	13
ENSMMUG00000000366	2	ENSGALG00000010256	9
ENSMMUG00000000368	14	ENSGALG00000036901	5
ENSMMUG00000000373	1	ENSGALG00000004889	21
ENSMMUG00000000376	12	ENSGALG00000011541	7
ENSMMUG00000000377	11	ENSGALG00000039461	1
ENSMMUG00000000378	X	ENSGALG00000033953	4
ENSMMUG00000000381	12	ENSGALG00000003136	7
ENSMMUG00000000382	12	ENSGALG00000003148	7
ENSMMUG00000000383	3	ENSGALG00000008115	1
ENSMMUG00000000384	12	ENSGALG00000003472	7
ENSMMUG00000000386	1	ENSGALG00000010985	8
ENSMMUG00000000387	2	ENSGALG00000037791	12
ENSMMUG00000000390	1	ENSGALG00000002106	8
ENSMMUG00000000391	20	ENSGALG00000025712	11
ENSMMUG00000000398	20	ENSGALG00000000528	11
ENSMMUG00000000399	6	ENSGALG00000014737	Z
ENSMMUG00000000400	6	ENSGALG00000020569	Z
ENSMMUG00000000401	20	ENSGALG00000000540	11
ENSMMUG00000000402	1	ENSGALG00000008835	8
ENSMMUG00000000406	1	ENSGALG00000028790	8
ENSMMUG00000000415	11	ENSGALG00000043728	33
ENSMMUG00000000419	6	ENSGALG00000033938	13
ENSMMUG00000000421	6	ENSGALG00000032992	13
ENSMMUG00000000424	9	ENSGALG00000031534	6
ENSMMUG00000000425	2	ENSGALG00000006704	9
ENSMMUG00000000427	3	ENSGALG00000004705	14
ENSMMUG00000000429	7	ENSGALG00000012429	5
ENSMMUG00000000430	2	ENSGALG00000041631	9
ENSMMUG00000000431	1	ENSGALG00000015006	1
ENSMMUG00000000433	9	ENSGALG00000008465	6
ENSMMUG00000000434	11	ENSGALG00000034919	15
ENSMMUG00000000446	6	ENSGALG00000003387	Z
ENSMMUG00000000452	19	ENSGALG00000000408	28
ENSMMUG00000000453	19	ENSGALG00000000430	28
ENSMMUG00000000455	6	ENSGALG00000007663	13
ENSMMUG00000000457	18	ENSGALG00000013135	2
ENSMMUG00000000458	8	ENSGALG00000010291	4
ENSMMUG00000000459	8	ENSGALG00000010283	4
ENSMMUG00000000460	4	ENSGALG00000045228	3
ENSMMUG00000000464	15	ENSGALG00000015669	Z
ENSMMUG00000000465	6	ENSGALG00000002562	13
ENSMMUG00000000466	X	ENSGALG00000009168	4
ENSMMUG00000000470	9	ENSGALG00000028250	6
ENSMMUG00000000475	11	ENSGALG00000036380	33
ENSMMUG00000000477	11	ENSGALG00000043775	33
ENSMMUG00000000480	3	ENSGALG00000030324	1
ENSMMUG00000000481	17	ENSGALG00000016870	1
ENSMMUG00000000484	19	ENSGALG00000001273	28
ENSMMUG00000000485	19	ENSGALG00000001289	28
ENSMMUG00000000488	3	ENSGALG00000016043	1
ENSMMUG00000000490	7	ENSGALG00000027050	10
ENSMMUG00000000491	19	ENSGALG00000003727	28
ENSMMUG00000000492	7	ENSGALG00000011715	5
ENSMMUG00000000493	7	ENSGALG00000040026	5
ENSMMUG00000000495	15	ENSGALG00000042762	17
ENSMMUG00000000496	15	ENSGALG00000021570	17
ENSMMUG00000000498	13	ENSGALG00000007853	3
ENSMMUG00000000500	4	ENSGALG00000011663	3
ENSMMUG00000000504	3	ENSGALG00000013086	2
ENSMMUG00000000506	14	ENSGALG00000014170	1
ENSMMUG00000000507	8	ENSGALG00000039690	2
ENSMMUG00000000511	14	ENSGALG00000006427	5
ENSMMUG00000000512	11	ENSGALG00000004901	15
ENSMMUG00000000513	14	ENSGALG00000006401	5
ENSMMUG00000000515	20	ENSGALG00000014179	14
ENSMMUG00000000517	3	ENSGALG00000010925	2
ENSMMUG00000000519	2	ENSGALG00000015497	1
ENSMMUG00000000521	11	ENSGALG00000011406	1
ENSMMUG00000000522	19	ENSGALG00000038595	AADN04000661.1
ENSMMUG00000000524	20	ENSGALG00000006202	14
ENSMMUG00000000525	20	ENSGALG00000006156	14
ENSMMUG00000000526	2	ENSGALG00000041491	2
ENSMMUG00000000527	14	ENSGALG00000017150	1
ENSMMUG00000000529	17	ENSGALG00000016900	1
ENSMMUG00000000534	7	ENSGALG00000006519	10
ENSMMUG00000000537	1	ENSGALG00000028147	25
ENSMMUG00000000540	20	ENSGALG00000005502	11
ENSMMUG00000000541	1	ENSGALG00000000751	25
ENSMMUG00000000544	3	ENSGALG00000005974	7
ENSMMUG00000000545	1	ENSGALG00000004538	8
ENSMMUG00000000546	1	ENSGALG00000030543	8
ENSMMUG00000000549	11	ENSGALG00000040567	1
ENSMMUG00000000553	10	ENSGALG00000029379	1
ENSMMUG00000000554	7	ENSGALG00000006725	10
ENSMMUG00000000556	7	ENSGALG00000021135	10
ENSMMUG00000000561	13	ENSGALG00000008701	3
ENSMMUG00000000565	1	ENSGALG00000003510	8
ENSMMUG00000000567	9	ENSGALG00000040993	2
ENSMMUG00000000568	15	ENSGALG00000027345	Z
ENSMMUG00000000570	6	ENSGALG00000002152	13
ENSMMUG00000000572	13	ENSGALG00000016759	1
ENSMMUG00000000573	8	ENSGALG00000030185	2
ENSMMUG00000000574	13	ENSGALG00000016758	1
ENSMMUG00000000576	18	ENSGALG00000013782	2
ENSMMUG00000000577	4	ENSGALG00000029794	3
ENSMMUG00000000580	16	ENSGALG00000034427	27
ENSMMUG00000000582	12	ENSGALG00000008454	7
ENSMMUG00000000583	2	ENSGALG00000043393	1
ENSMMUG00000000586	20	ENSGALG00000017681	14
ENSMMUG00000000588	20	ENSGALG00000007434	14
ENSMMUG00000000589	20	ENSGALG00000028691	14
ENSMMUG00000000590	20	ENSGALG00000007456	14
ENSMMUG00000000591	2	ENSGALG00000002099	12
ENSMMUG00000000595	11	ENSGALG00000012913	1
ENSMMUG00000000596	20	ENSGALG00000037983	14
ENSMMUG00000000599	20	ENSGALG00000031303	14
ENSMMUG00000000602	20	ENSGALG00000040648	14
ENSMMUG00000000603	20	ENSGALG00000036819	14
ENSMMUG00000000604	20	ENSGALG00000040070	14
ENSMMUG00000000605	20	ENSGALG00000029402	14
ENSMMUG00000000609	20	ENSGALG00000007473	14
ENSMMUG00000000612	20	ENSGALG00000002688	14
ENSMMUG00000000613	20	ENSGALG00000002666	14
ENSMMUG00000000615	20	ENSGALG00000002018	14
ENSMMUG00000000616	20	ENSGALG00000045317	14
ENSMMUG00000000618	16	ENSGALG00000005397	19
ENSMMUG00000000620	16	ENSGALG00000005403	19
ENSMMUG00000000622	16	ENSGALG00000039523	19
ENSMMUG00000000623	2	ENSGALG00000040866	9
ENSMMUG00000000629	1	ENSGALG00000004591	8
ENSMMUG00000000630	1	ENSGALG00000004587	8
ENSMMUG00000000634	1	ENSGALG00000041845	16
ENSMMUG00000000635	6	ENSGALG00000006076	13
ENSMMUG00000000637	1	ENSGALG00000011113	8
ENSMMUG00000000639	8	ENSGALG00000000317	22
ENSMMUG00000000641	1	ENSGALG00000045792	8
ENSMMUG00000000642	13	ENSGALG00000009932	3
ENSMMUG00000000643	1	ENSGALG00000011118	8
ENSMMUG00000000644	1	ENSGALG00000042624	23
ENSMMUG00000000645	1	ENSGALG00000011121	8
ENSMMUG00000000646	1	ENSGALG00000038536	23
ENSMMUG00000000651	1	ENSGALG00000011222	8
ENSMMUG00000000654	19	ENSGALG00000042767	AADN04000744.1
ENSMMUG00000000655	1	ENSGALG00000021658	23
ENSMMUG00000000658	9	ENSGALG00000002314	6
ENSMMUG00000000659	9	ENSGALG00000002307	6
ENSMMUG00000000660	9	ENSGALG00000002303	6
ENSMMUG00000000661	9	ENSGALG00000002299	6
ENSMMUG00000000664	14	ENSGALG00000005998	5
ENSMMUG00000000667	X	ENSGALG00000005533	4
ENSMMUG00000000669	X	ENSGALG00000005541	4
ENSMMUG00000000670	15	ENSGALG00000001225	17
ENSMMUG00000000676	1	ENSGALG00000009331	3
ENSMMUG00000000677	20	ENSGALG00000000787	11
ENSMMUG00000000681	7	ENSGALG00000030719	5
ENSMMUG00000000683	10	ENSGALG00000007980	20
ENSMMUG00000000684	9	ENSGALG00000041417	6
ENSMMUG00000000685	4	ENSGALG00000000477	26
ENSMMUG00000000687	4	ENSGALG00000000504	26
ENSMMUG00000000690	15	ENSGALG00000013207	2
ENSMMUG00000000692	2	ENSGALG00000015375	1
ENSMMUG00000000694	2	ENSGALG00000015377	1
ENSMMUG00000000695	15	ENSGALG00000013138	2
ENSMMUG00000000696	2	ENSGALG00000015378	1
ENSMMUG00000000697	2	ENSGALG00000015379	1
ENSMMUG00000000698	19	ENSGALG00000000619	28
ENSMMUG00000000699	7	ENSGALG00000010783	5
ENSMMUG00000000704	6	ENSGALG00000003688	Z
ENSMMUG00000000705	X	ENSGALG00000008593	4
ENSMMUG00000000706	2	ENSGALG00000005678	12
ENSMMUG00000000711	16	ENSGALG00000004649	19
ENSMMUG00000000712	6	ENSGALG00000012917	2
ENSMMUG00000000722	12	ENSGALG00000004957	9
ENSMMUG00000000729	4	ENSGALG00000035721	23
ENSMMUG00000000736	4	ENSGALG00000035499	26
ENSMMUG00000000737	20	ENSGALG00000005398	14
ENSMMUG00000000738	20	ENSGALG00000024041	14
ENSMMUG00000000739	20	ENSGALG00000005411	14
ENSMMUG00000000740	10	ENSGALG00000008026	20
ENSMMUG00000000747	4	ENSGALG00000039842	AADN04004686.1
ENSMMUG00000000749	4	ENSGALG00000032231	16
ENSMMUG00000000750	16	ENSGALG00000002225	19
ENSMMUG00000000752	6	ENSGALG00000013402	2
ENSMMUG00000000754	7	ENSGALG00000039924	10
ENSMMUG00000000756	2	ENSGALG00000006047	12
ENSMMUG00000000758	4	ENSGALG00000041031	16
ENSMMUG00000000759	14	ENSGALG00000006035	5
ENSMMUG00000000761	14	ENSGALG00000006050	5
