Opossum	ChrOpossum	Platypus	ChrPlatypus
ENSMODG00000000005	7	ENSOANG00000004046	Ultra462
ENSMODG00000000006	2	ENSOANG00000004597	Contig1062
ENSMODG00000000012	1	ENSOANG00000011747	Contig677
ENSMODG00000000018	1	ENSOANG00000007785	Contig6811
ENSMODG00000000019	3	ENSOANG00000008611	Ultra358
ENSMODG00000000020	7	ENSOANG00000004044	Ultra462
ENSMODG00000000026	2	ENSOANG00000013527	Ultra357
ENSMODG00000000031	1	ENSOANG00000003076	Contig1606
ENSMODG00000000032	6	ENSOANG00000005869	Ultra413
ENSMODG00000000033	3	ENSOANG00000014077	4
ENSMODG00000000034	5	ENSOANG00000010308	Ultra544
ENSMODG00000000035	1	ENSOANG00000003075	Contig1606
ENSMODG00000000036	7	ENSOANG00000004042	Ultra462
ENSMODG00000000038	3	ENSOANG00000014075	4
ENSMODG00000000040	5	ENSOANG00000005407	Contig33748
ENSMODG00000000041	1	ENSOANG00000012391	Contig3886
ENSMODG00000000043	1	ENSOANG00000031022	Contig100421
ENSMODG00000000044	7	ENSOANG00000004040	Ultra462
ENSMODG00000000048	3	ENSOANG00000014078	4
ENSMODG00000000052	1	ENSOANG00000004502	Contig1456
ENSMODG00000000053	5	ENSOANG00000009594	Contig2978
ENSMODG00000000057	1	ENSOANG00000021535	Contig26438
ENSMODG00000000058	6	ENSOANG00000003393	Contig7861
ENSMODG00000000060	7	ENSOANG00000010514	Ultra86
ENSMODG00000000067	1	ENSOANG00000001130	3
ENSMODG00000000068	7	ENSOANG00000010516	Ultra86
ENSMODG00000000074	7	ENSOANG00000010517	Ultra86
ENSMODG00000000076	2	ENSOANG00000014277	Ultra416
ENSMODG00000000085	6	ENSOANG00000006968	Contig2475
ENSMODG00000000086	7	ENSOANG00000011055	Ultra86
ENSMODG00000000087	5	ENSOANG00000013761	Ultra445
ENSMODG00000000088	1	ENSOANG00000001129	3
ENSMODG00000000089	5	ENSOANG00000013760	Ultra445
ENSMODG00000000090	7	ENSOANG00000011053	Ultra86
ENSMODG00000000092	1	ENSOANG00000004501	Contig1456
ENSMODG00000000095	1	ENSOANG00000001128	3
ENSMODG00000000097	4	ENSOANG00000010497	Ultra192
ENSMODG00000000099	4	ENSOANG00000002755	Contig5195
ENSMODG00000000102	1	ENSOANG00000001127	3
ENSMODG00000000104	4	ENSOANG00000029578	Ultra192
ENSMODG00000000105	6	ENSOANG00000008951	Contig15706
ENSMODG00000000107	5	ENSOANG00000008970	Ultra33
ENSMODG00000000109	5	ENSOANG00000006700	18
ENSMODG00000000111	1	ENSOANG00000032166	Contig84465
ENSMODG00000000113	5	ENSOANG00000029819	18
ENSMODG00000000115	5	ENSOANG00000008971	Ultra33
ENSMODG00000000116	4	ENSOANG00000010499	Ultra192
ENSMODG00000000118	5	ENSOANG00000015286	Ultra33
ENSMODG00000000120	6	ENSOANG00000031054	Contig9364
ENSMODG00000000121	1	ENSOANG00000001125	3
ENSMODG00000000122	5	ENSOANG00000015287	Ultra33
ENSMODG00000000124	7	ENSOANG00000006018	Ultra213
ENSMODG00000000125	6	ENSOANG00000004316	2
ENSMODG00000000126	1	ENSOANG00000001182	Contig38726
ENSMODG00000000127	7	ENSOANG00000030226	Ultra86
ENSMODG00000000129	5	ENSOANG00000006699	18
ENSMODG00000000130	6	ENSOANG00000004317	2
ENSMODG00000000131	4	ENSOANG00000010500	Ultra192
ENSMODG00000000132	5	ENSOANG00000015289	Ultra33
ENSMODG00000000134	7	ENSOANG00000006685	Ultra86
ENSMODG00000000135	1	ENSOANG00000013147	Contig19337
ENSMODG00000000137	5	ENSOANG00000022210	18
ENSMODG00000000138	1	ENSOANG00000006457	Contig2987
ENSMODG00000000139	4	ENSOANG00000010502	Ultra192
ENSMODG00000000141	1	ENSOANG00000004500	Contig1456
ENSMODG00000000144	2	ENSOANG00000004596	Contig1062
ENSMODG00000000145	6	ENSOANG00000004320	2
ENSMODG00000000147	4	ENSOANG00000003457	Contig4208
ENSMODG00000000148	1	ENSOANG00000012513	Contig3509
ENSMODG00000000149	1	ENSOANG00000001121	3
ENSMODG00000000151	1	ENSOANG00000004499	Contig1456
ENSMODG00000000154	5	ENSOANG00000006697	18
ENSMODG00000000155	6	ENSOANG00000012885	Ultra391
ENSMODG00000000158	1	ENSOANG00000004498	Contig1456
ENSMODG00000000160	5	ENSOANG00000015291	Ultra33
ENSMODG00000000162	6	ENSOANG00000004322	2
ENSMODG00000000163	4	ENSOANG00000010503	Ultra192
ENSMODG00000000164	1	ENSOANG00000029781	Contig1456
ENSMODG00000000167	1	ENSOANG00000001118	3
ENSMODG00000000168	1	ENSOANG00000012378	Contig41508
ENSMODG00000000170	2	ENSOANG00000004594	Contig1062
ENSMODG00000000172	5	ENSOANG00000015294	Ultra33
ENSMODG00000000173	7	ENSOANG00000006057	Contig393
ENSMODG00000000175	1	ENSOANG00000028435	Contig22318
ENSMODG00000000176	6	ENSOANG00000004324	2
ENSMODG00000000180	4	ENSOANG00000010403	Ultra29
ENSMODG00000000181	2	ENSOANG00000012551	Contig27275
ENSMODG00000000182	6	ENSOANG00000004325	2
ENSMODG00000000185	6	ENSOANG00000012887	Ultra391
ENSMODG00000000187	3	ENSOANG00000002748	3
ENSMODG00000000189	7	ENSOANG00000010025	Ultra72
ENSMODG00000000192	6	ENSOANG00000004326	2
ENSMODG00000000198	1	ENSOANG00000012601	Contig30229
ENSMODG00000000200	1	ENSOANG00000001057	Contig25573
ENSMODG00000000203	1	ENSOANG00000004707	Contig18095
ENSMODG00000000204	6	ENSOANG00000012888	Ultra391
ENSMODG00000000206	3	ENSOANG00000002749	3
ENSMODG00000000207	1	ENSOANG00000009308	Contig6878
ENSMODG00000000208	7	ENSOANG00000010027	Ultra72
ENSMODG00000000209	5	ENSOANG00000013540	Contig102
ENSMODG00000000211	1	ENSOANG00000000320	Ultra97
ENSMODG00000000212	1	ENSOANG00000009309	Contig6878
ENSMODG00000000213	6	ENSOANG00000004327	2
ENSMODG00000000219	3	ENSOANG00000003359	3
ENSMODG00000000220	1	ENSOANG00000000322	Ultra97
ENSMODG00000000221	1	ENSOANG00000009310	Contig6878
ENSMODG00000000222	4	ENSOANG00000010402	Ultra29
ENSMODG00000000223	5	ENSOANG00000013166	Ultra33
ENSMODG00000000227	6	ENSOANG00000013848	Contig964
ENSMODG00000000228	1	ENSOANG00000011955	Contig26706
ENSMODG00000000229	4	ENSOANG00000007591	Ultra470
ENSMODG00000000231	4	ENSOANG00000010399	Ultra29
ENSMODG00000000232	6	ENSOANG00000004329	2
ENSMODG00000000235	5	ENSOANG00000013165	Ultra33
ENSMODG00000000236	4	ENSOANG00000010398	Ultra29
ENSMODG00000000243	2	ENSOANG00000007749	Contig30300
ENSMODG00000000244	Un	ENSOANG00000029922	Contig69287
ENSMODG00000000246	Un	ENSOANG00000012292	Contig7224
ENSMODG00000000249	1	ENSOANG00000000502	Contig14268
ENSMODG00000000250	1	ENSOANG00000014155	Contig1248
ENSMODG00000000252	Un	ENSOANG00000012293	Contig7224
ENSMODG00000000253	1	ENSOANG00000001985	Contig159609
ENSMODG00000000255	Un	ENSOANG00000031484	Contig28526
ENSMODG00000000264	4	ENSOANG00000005641	Contig4981
ENSMODG00000000268	1	ENSOANG00000028534	Contig14268
ENSMODG00000000272	1	ENSOANG00000014156	Contig1248
ENSMODG00000000273	8	ENSOANG00000005801	Contig9665
ENSMODG00000000278	4	ENSOANG00000011723	Ultra29
ENSMODG00000000285	2	ENSOANG00000009120	Contig1135
ENSMODG00000000289	8	ENSOANG00000009177	Ultra231
ENSMODG00000000290	Un	ENSOANG00000028390	Contig25199
ENSMODG00000000292	2	ENSOANG00000006824	Contig682
ENSMODG00000000294	1	ENSOANG00000009241	Contig7495
ENSMODG00000000298	2	ENSOANG00000002170	Ultra226
ENSMODG00000000299	2	ENSOANG00000006823	Contig682
ENSMODG00000000300	1	ENSOANG00000011262	Contig5222
ENSMODG00000000305	7	ENSOANG00000012558	Contig12614
ENSMODG00000000306	3	ENSOANG00000031630	Contig15047
ENSMODG00000000308	5	ENSOANG00000013164	Ultra33
ENSMODG00000000309	3	ENSOANG00000008165	Contig11920
ENSMODG00000000311	2	ENSOANG00000006822	Contig682
ENSMODG00000000316	1	ENSOANG00000011929	Contig15096
ENSMODG00000000318	Un	ENSOANG00000012413	Ultra56
ENSMODG00000000319	5	ENSOANG00000013926	Ultra33
ENSMODG00000000320	1	ENSOANG00000008590	Contig19349
ENSMODG00000000324	Un	ENSOANG00000011744	Contig677
ENSMODG00000000326	7	ENSOANG00000007007	Contig10480
ENSMODG00000000329	2	ENSOANG00000009348	Ultra171
ENSMODG00000000330	1	ENSOANG00000014195	Contig10839
ENSMODG00000000336	5	ENSOANG00000013925	Ultra33
ENSMODG00000000337	1	ENSOANG00000004213	Ultra519
ENSMODG00000000339	1	ENSOANG00000010888	Contig4912
ENSMODG00000000342	1	ENSOANG00000008996	Contig124774
ENSMODG00000000344	2	ENSOANG00000030986	Contig17291
ENSMODG00000000347	7	ENSOANG00000032107	Ultra86
ENSMODG00000000348	2	ENSOANG00000004516	7
ENSMODG00000000350	1	ENSOANG00000003991	Contig8162
ENSMODG00000000351	4	ENSOANG00000030934	Contig28569
ENSMODG00000000352	2	ENSOANG00000021056	Ultra226
ENSMODG00000000355	1	ENSOANG00000003491	Contig26290
ENSMODG00000000356	2	ENSOANG00000030110	Ultra226
ENSMODG00000000357	4	ENSOANG00000011719	Ultra29
ENSMODG00000000359	3	ENSOANG00000014458	Ultra43
ENSMODG00000000361	1	ENSOANG00000002707	Contig10199
ENSMODG00000000364	2	ENSOANG00000012466	Contig33411
ENSMODG00000000367	2	ENSOANG00000004515	7
ENSMODG00000000370	4	ENSOANG00000011717	Ultra29
ENSMODG00000000374	1	ENSOANG00000031283	Contig29355
ENSMODG00000000375	7	ENSOANG00000006692	Ultra86
ENSMODG00000000376	1	ENSOANG00000004258	Contig12574
ENSMODG00000000386	2	ENSOANG00000008287	Contig16568
ENSMODG00000000387	3	ENSOANG00000014461	Ultra43
ENSMODG00000000388	5	ENSOANG00000006688	18
ENSMODG00000000390	2	ENSOANG00000003513	Ultra135
ENSMODG00000000391	5	ENSOANG00000013921	Ultra33
ENSMODG00000000396	1	ENSOANG00000013315	Contig3062
ENSMODG00000000401	2	ENSOANG00000012529	Contig19082
ENSMODG00000000403	2	ENSOANG00000009350	Ultra171
ENSMODG00000000406	1	ENSOANG00000014346	Ultra337
ENSMODG00000000407	1	ENSOANG00000002848	Contig5043
ENSMODG00000000409	2	ENSOANG00000003514	Ultra135
ENSMODG00000000412	4	ENSOANG00000011715	Ultra29
ENSMODG00000000414	Un	ENSOANG00000030249	Contig16437
ENSMODG00000000418	1	ENSOANG00000015092	Contig110
ENSMODG00000000421	2	ENSOANG00000012099	Contig9640
ENSMODG00000000427	1	ENSOANG00000013314	Contig3062
ENSMODG00000000429	1	ENSOANG00000015089	Contig110
ENSMODG00000000432	5	ENSOANG00000013920	Ultra33
ENSMODG00000000433	4	ENSOANG00000028572	Contig25009
ENSMODG00000000436	3	ENSOANG00000010161	Ultra474
ENSMODG00000000438	4	ENSOANG00000002989	Contig38150
ENSMODG00000000439	5	ENSOANG00000013919	Ultra33
ENSMODG00000000441	4	ENSOANG00000010496	Ultra192
ENSMODG00000000443	2	ENSOANG00000004514	7
ENSMODG00000000447	8	ENSOANG00000009174	Ultra231
ENSMODG00000000448	1	ENSOANG00000030346	Ultra337
ENSMODG00000000449	8	ENSOANG00000009173	Ultra231
ENSMODG00000000451	1	ENSOANG00000002849	Contig5043
ENSMODG00000000452	2	ENSOANG00000009012	Contig5757
ENSMODG00000000453	8	ENSOANG00000009172	Ultra231
ENSMODG00000000454	7	ENSOANG00000009198	Contig11743
ENSMODG00000000456	1	ENSOANG00000011777	Contig17842
ENSMODG00000000457	8	ENSOANG00000008729	Ultra136
ENSMODG00000000460	5	ENSOANG00000006686	18
ENSMODG00000000463	8	ENSOANG00000009171	Ultra231
ENSMODG00000000465	5	ENSOANG00000013918	Ultra33
ENSMODG00000000466	2	ENSOANG00000009356	Ultra171
ENSMODG00000000469	8	ENSOANG00000009169	Ultra231
ENSMODG00000000470	2	ENSOANG00000008992	Contig1388
ENSMODG00000000471	5	ENSOANG00000006683	18
ENSMODG00000000472	8	ENSOANG00000009168	Ultra231
ENSMODG00000000476	3	ENSOANG00000010162	Ultra474
ENSMODG00000000479	7	ENSOANG00000012098	Contig6590
ENSMODG00000000481	2	ENSOANG00000008991	Contig1388
ENSMODG00000000482	2	ENSOANG00000030801	4
ENSMODG00000000483	8	ENSOANG00000009167	Ultra231
ENSMODG00000000485	2	ENSOANG00000009358	Ultra171
ENSMODG00000000486	4	ENSOANG00000010495	Ultra192
ENSMODG00000000489	8	ENSOANG00000011219	Contig19584
ENSMODG00000000490	1	ENSOANG00000022087	Contig10020
ENSMODG00000000491	8	ENSOANG00000009166	Ultra231
ENSMODG00000000492	2	ENSOANG00000009360	Ultra171
ENSMODG00000000493	2	ENSOANG00000014639	Contig25527
ENSMODG00000000497	4	ENSOANG00000012510	Contig15881
ENSMODG00000000498	2	ENSOANG00000014419	Ultra135
ENSMODG00000000500	5	ENSOANG00000006538	Ultra44
ENSMODG00000000501	3	ENSOANG00000001744	X3
ENSMODG00000000504	2	ENSOANG00000009905	Contig1838
ENSMODG00000000505	2	ENSOANG00000009361	Ultra171
ENSMODG00000000506	3	ENSOANG00000001743	X3
